  TRAJ MGRID  YEAR MONTH  DATE  HOUR   MIN FOREH     AGE      LAT     LONG ALTITUDE PRESSURE    THETA AIR_TEMP RAINFALL MIXDEPTH RELHUMID TERR_MSL SUN_FLUX
     1     1    15     4    11    19     0     1     0.0   81.545 -100.455   5550.0    461.4    284.4    228.0      0.0    256.2     50.1     16.5    234.4
     2     1    15     4    11    19     0     1     0.0   81.545 -100.455   5566.5    462.5    284.3    228.0      0.0    243.5     48.3      0.0    230.9
     3     1    15     4    11    19     0     1     0.0   81.545 -100.455   5548.4    460.8    284.5    228.0      0.0    270.9     40.4     18.1    243.9
     4     1    15     4    11    19     0     1     0.0   81.545 -100.455   5550.0    461.4    284.4    228.0      0.0    257.0     50.1     16.5    238.9
     5     1    15     4    11    19     0     1     0.0   81.545 -100.455   5566.5    462.5    284.3    228.0      0.0    252.2     48.3      0.0    230.9
     6     1    15     4    11    19     0     1     0.0   81.545 -100.455   5548.4    460.8    284.5    227.9      0.0    315.3     37.1     18.1    244.4
     7     1    15     4    11    19     0     1     0.0   81.545 -100.455   5550.0    461.4    284.4    228.0      0.0    256.1     50.0     16.5    234.0
     8     1    15     4    11    19     0     1     0.0   81.545 -100.455   5566.5    462.5    284.4    228.1      0.0    242.7     48.0      0.0    230.9
     9     1    15     4    11    19     0     1     0.0   81.545 -100.455   5548.4    460.8    284.6    228.0      0.0    266.6     40.6     18.1    243.9
    10     1    15     4    11    19     0     1     0.0   81.545 -100.455   5550.0    478.9    283.2    229.5      0.0    256.2     48.3     16.5    234.4
    11     1    15     4    11    19     0     1     0.0   81.545 -100.455   5566.5    480.1    283.1    229.5      0.0    243.5     44.4      0.0    230.9
    12     1    15     4    11    19     0     1     0.0   81.545 -100.455   5548.4    478.3    283.2    229.4      0.0    270.9     42.6     18.1    243.9
    13     1    15     4    11    19     0     1     0.0   81.545 -100.455   5550.0    478.9    283.2    229.5      0.0    257.0     48.3     16.5    238.9
    14     1    15     4    11    19     0     1     0.0   81.545 -100.455   5566.5    480.1    283.1    229.5      0.0    252.2     44.4      0.0    230.9
    15     1    15     4    11    19     0     1     0.0   81.545 -100.455   5548.4    478.3    283.1    229.3      0.0    315.3     41.9     18.1    244.4
    16     1    15     4    11    19     0     1     0.0   81.545 -100.455   5550.0    478.9    283.3    229.5      0.0    256.1     48.2     16.5    234.0
    17     1    15     4    11    19     0     1     0.0   81.545 -100.455   5566.5    480.2    283.2    229.6      0.0    242.7     44.2      0.0    230.9
    18     1    15     4    11    19     0     1     0.0   81.545 -100.455   5548.4    478.3    283.3    229.4      0.0    266.6     42.6     18.1    243.9
    19     1    15     4    11    19     0     1     0.0   81.545 -100.455   5550.0    444.5    285.7    226.5      0.0    256.2     48.8     16.5    234.4
    20     1    15     4    11    19     0     1     0.0   81.545 -100.455   5566.5    445.5    285.4    226.5      0.0    243.5     48.5      0.0    230.9
    21     1    15     4    11    19     0     1     0.0   81.545 -100.455   5548.4    443.9    285.9    226.6      0.0    270.9     38.5     18.1    243.9
    22     1    15     4    11    19     0     1     0.0   81.545 -100.455   5550.0    444.4    285.7    226.5      0.0    257.0     48.8     16.5    238.9
    23     1    15     4    11    19     0     1     0.0   81.545 -100.455   5566.5    445.5    285.4    226.5      0.0    252.2     48.6      0.0    230.9
    24     1    15     4    11    19     0     1     0.0   81.545 -100.455   5548.4    443.8    285.9    226.6      0.0    315.3     34.8     18.1    244.4
    25     1    15     4    11    19     0     1     0.0   81.545 -100.455   5550.0    444.5    285.7    226.5      0.0    256.1     48.8     16.5    234.0
    26     1    15     4    11    19     0     1     0.0   81.545 -100.455   5566.5    445.6    285.5    226.6      0.0    242.7     48.2      0.0    230.9
    27     1    15     4    11    19     0     1     0.0   81.545 -100.455   5548.4    443.9    286.0    226.7      0.0    266.6     38.7     18.1    243.9
     1     1    15     4    11    18     0     0    -1.0   81.847  -96.625   5583.8    459.6    284.5    227.7      0.0    275.6     44.8     18.1    216.0
     2     1    15     4    11    18     0     0    -1.0   81.847  -96.184   5590.3    459.1    284.5    227.7      0.0    256.0     49.2     18.1    210.4
     3     1    15     4    11    18     0     0    -1.0   81.849  -96.929   5593.9    457.7    284.6    227.6      0.0    317.3     31.5     18.1    219.2
     4     1    15     4    11    18     0     0    -1.0   81.841  -96.591   5585.5    458.8    284.4    227.6      0.0    276.4     45.2     18.1    218.5
     5     1    15     4    11    18     0     0    -1.0   81.842  -96.173   5589.6    459.3    284.4    227.7      0.0    256.0     49.2     18.1    210.5
     6     1    15     4    11    18     0     0    -1.0   81.845  -96.907   5595.6    457.5    284.5    227.5      0.0    300.2     31.5     18.1    224.0
     7     1    15     4    11    18     0     0    -1.0   81.851  -96.634   5584.5    458.9    284.4    227.6      0.0    275.1     45.3     18.1    216.0
