  TRAJ MGRID  YEAR MONTH  DATE  HOUR   MIN FOREH     AGE      LAT     LONG ALTITUDE PRESSURE    THETA AIR_TEMP RAINFALL MIXDEPTH RELHUMID TERR_MSL SUN_FLUX
     1     1    15     4    11    19     0     1     0.0   81.582 -101.083   2529.4    712.9    270.5    245.6      0.0    255.3     34.2     15.1    233.8
     2     1    15     4    11    19     0     1     0.0   81.582 -101.083   2544.5    714.0    270.9    246.0      0.0    239.5     37.0      0.0    230.3
     3     1    15     4    11    19     0     1     0.0   81.582 -101.083   2526.4    712.5    269.8    244.9      0.0    265.8     35.6     18.1    243.1
     4     1    15     4    11    19     0     1     0.0   81.582 -101.083   2529.4    712.9    270.5    245.6      0.0    255.3     34.2     15.1    233.8
     5     1    15     4    11    19     0     1     0.0   81.582 -101.083   2544.5    714.1    270.9    246.0      0.0    239.5     37.1      0.0    230.3
     6     1    15     4    11    19     0     1     0.0   81.582 -101.083   2526.4    712.6    269.8    244.9      0.0    265.8     35.7     18.1    243.1
     7     1    15     4    11    19     0     1     0.0   81.582 -101.083   2531.9    713.0    270.5    245.6      0.0    254.1     34.2     12.6    233.6
     8     1    15     4    11    19     0     1     0.0   81.582 -101.083   2544.5    714.0    270.9    246.0      0.0    233.5     36.9      0.0    229.5
     9     1    15     4    11    19     0     1     0.0   81.582 -101.083   2526.9    712.5    269.8    244.9      0.0    264.3     35.6     17.6    243.1
    10     1    15     4    11    19     0     1     0.0   81.582 -101.083   2529.4    738.1    268.9    246.5      0.0    255.3     33.5     15.1    233.8
    11     1    15     4    11    19     0     1     0.0   81.582 -101.083   2544.5    739.2    269.1    246.9      0.0    239.5     36.0      0.0    230.3
    12     1    15     4    11    19     0     1     0.0   81.582 -101.083   2526.4    737.8    268.3    245.9      0.0    265.8     34.8     18.1    243.1
    13     1    15     4    11    19     0     1     0.0   81.582 -101.083   2529.4    738.2    268.9    246.6      0.0    255.3     33.5     15.1    233.8
    14     1    15     4    11    19     0     1     0.0   81.582 -101.083   2544.5    739.2    269.1    246.9      0.0    239.5     36.0      0.0    230.3
    15     1    15     4    11    19     0     1     0.0   81.582 -101.083   2526.4    737.8    268.3    245.9      0.0    265.8     34.9     18.1    243.1
    16     1    15     4    11    19     0     1     0.0   81.582 -101.083   2531.9    738.2    268.9    246.5      0.0    254.1     33.6     12.6    233.6
