Time,Pressure,Temperature,Altitude,DewPt,RH,FS96CNC,  PCTcon,CN3025,CN7610,CN3025_corrected,Latitude,Longitude,CO2,H2O
213717,1016,-8.2,247,-10.1,90,0,2083.5,0,0,0,71.28564,156.77095,2415,441
213718,1015.5,-8.1,247,-10.2,89.2,0,2155.1,0,0,0,71.28564,156.76958,2414,441
213719,1015,-8.2,247,-9.4,94.9,0,2105,0,0,0,71.28564,156.76768,2413,441
213720,1014.4,-8.3,247,-9.3,96.2,0,2146.2,0,0,0,71.28564,156.76614,2411,441
213721,1013.7,-8.4,247,-10.2,90.3,,2083.4,0,0,0,71.28564,156.76477,2391,438
213722,1013.2,-8.4,247,-10.5,88.2,,2001.8,0,0,0,71.28564,156.76306,2254,426
213723,1012.6,-8.4,4,-9.8,93.2,,2003.3,0,0,0,71.28564,156.76117,1887,390
213724,1012.2,-8.4,8,-9.8,92.8,,1935.1,0,0,0,71.28564,156.75928,1882,387
213725,1011.4,-8.5,15,-10.4,88.9,,2022.9,0,0,0,71.28564,156.75757,1876,386
213726,1010.9,-8.5,19,-10,92.1,,1970.6,0,0,0,71.28564,156.75601,1871,385
213727,1010.2,-8.6,25,-9.7,95,,1988.4,0,0,0,71.28564,156.7543,1869,385
213728,1009.2,-8.6,33,-10.4,90,,1944.4,0,0,0,71.28564,156.75208,1868,384
213729,1008.3,-8.7,41,-10.3,91.2,,2106.9,0,0,0,71.28564,156.75035,1866,382
213730,1007.3,-8.7,49,-9.8,95.4,,2103.4,0,0,0,71.28564,156.74864,1865,381
213731,1006.1,-8.8,59,-10.3,91.6,,2016.7,0,0,0,71.28564,156.74692,1863,381
213732,1005,-8.9,68,-10.4,91.7,,2037.2,0,0,0,71.28564,156.74486,1860,380
213733,1004,-8.9,77,-9.8,96.1,,2140.5,0,0,0,71.28564,156.74297,1858,379
213734,1002.9,-9,86,-10.1,94.5,,2139.3,0,0,0,71.28564,156.74091,1856,379
213735,1001.8,-9.1,95,-10.5,93,,2128.2,0,0,0,71.28564,156.73903,1854,379
213736,1000.8,-9.2,104,-10,97.6,,2148.8,0,0,0,71.28564,156.7373,1852,377
213737,999.8,-9.3,112,-10.1,96.4,,2183.8,0,0,0,71.28564,156.73524,1850,376
213738,999.1,-9.4,118,-10.6,94.1,,2258.3,0,0,0,71.28564,156.7337,1848,376
213739,998.5,-9.3,123,-10,98.6,,2122,0,0,0,71.28564,156.73129,1847,375
213740,997.9,-9.4,127,-10,98.6,,2054.4,0,0,0,71.28564,156.72942,1846,373
213741,997.5,-9.4,132,-10,98.7,,2251.8,0,0,0,71.28564,156.72752,1843,376
213742,997.1,-9.5,135,-9.9,100,,2388.4,0,0,0,71.28564,156.72546,1842,379
213743,996.7,-9.5,138,-10.3,97.3,,2326.2,0,0,0,71.28548,156.72357,1841,377
213744,996.3,-9.5,141,-10.2,98.2,,2439.8,0,0,0,71.28548,156.72099,1839,374
213745,995.8,-9.5,145,-9.6,100,,2395.4,0,0,0,71.28548,156.71893,1838,375
213746,995.4,-9.6,149,-10,99.7,,2349,0,0,0,71.28548,156.71687,1837,377
213747,994.8,-9.5,154,-10.2,97.7,,2385.2,0,0,0,71.28548,156.71448,1835,377
213748,994.4,-9.5,158,-9.5,100,,2412.7,0,0,0,71.28548,156.71242,1834,376
213749,993.9,-9.6,162,-9.6,100,207.11,1680.1,0,0,0,71.2853,156.70984,1833,378
213750,993.3,-9.6,167,-10.2,98,62.03,624.2,0,0,0,71.2853,156.70778,1831,379
213751,992.8,-9.6,171,-9.7,100,77.86,141.7,0,0,0,71.2853,156.70538,1830,379
213752,991.9,-9.6,178,-9.6,100,76.36,55.4,0,0,0,71.2853,156.70314,1828,379
213753,991.5,-9.6,182,-10.1,99,77.4,35.6,0,0,0,71.2853,156.70058,1827,379
213754,990.9,-9.6,187,-9.7,100,71.84,30.1,0,0,0,71.2853,156.69885,1825,380
213755,990.1,-9.5,193,-9.4,100,64.36,37.4,0,0,0,71.2853,156.69577,1824,383
213756,989.5,-9.5,199,-9.9,99.9,61.02,33.3,0,0,0,71.2853,156.69405,1823,383
213757,988.8,-9.5,205,-9.5,100,70.42,36.3,0,0,0,71.2853,156.69182,1822,385
213758,988.1,-9.6,210,-9.4,100,74.64,46.8,0,0,0,71.2853,156.68907,1820,385
213759,987.3,-9.6,217,-10,99.8,75.27,17.6,0,0,0,71.2853,156.68633,1818,384
213800,986.5,-9.7,224,-9.7,100,76.2,20.6,0,0,0,71.2853,156.68427,1817,384
213801,985.6,-9.6,232,-9.5,100,72.93,19.2,0,0,0,71.2853,156.68272,1815,383
213802,984.9,-9.6,238,-10.1,99.1,79.8,40,0,0,0,71.2853,156.67894,1814,383
213803,984,-9.6,246,-9.9,100,70.19,10.4,0,0,0,71.2853,156.67671,1812,383
213804,982.8,-9.6,256,-9.4,100,63.61,32.7,0,0,0,71.2853,156.6743,1810,384
213805,982,-9.7,263,-10,100,59.94,26.9,0,0,0,71.2853,156.67155,1809,384
213806,981,-9.7,271,-10,100,52.15,34.4,0,0,0,71.2853,156.66933,1807,384
213807,979.8,-9.8,282,-9.5,100,54.67,49.5,0,0,0,71.2853,156.66641,1806,384
213808,978.7,-9.8,291,-10.1,100,54.28,51.1,0,0,0,71.28548,156.66418,1803,383
213809,977.5,-9.9,301,-10.2,99.8,50.49,43.7,0,0,0,71.28548,156.66194,1802,382
213810,976.2,-9.9,312,-9.7,100,51.79,57.3,0,0,0,71.28548,156.65988,1799,381
213811,975,-10,323,-10.2,100,51.66,356.6,0,0,0,71.28548,156.65663,1798,380
213812,973.7,-10.1,334,-10.4,99.7,50.04,690.4,0,0,0,71.28564,156.65388,1796,379
213813,972.6,-10.1,343,-9.9,100,42.61,405.9,0,0,0,71.28564,156.65164,1794,378
213814,971.3,-10.2,355,-10.4,100,10.41,267.2,0,0,0,71.28582,156.6489,1792,376
213815,970,-10.2,366,-10.7,98.7,1.85,53.2,0,0,0,71.28582,156.64667,1790,375
213816,969,-10.1,374,-10.2,100,6.66,33.5,0,0,0,71.28599,156.64529,1787,372
213817,968,-10.1,383,-10.5,100,0.23,48.8,0,0,0,71.28616,156.64153,1785,371
213818,967.1,-10.1,391,-10.6,98.7,0.22,9.1,0,0,0,71.28633,156.63963,1783,371
213819,966,-10,400,-10.1,100,0.45,3,0,0,0,71.28667,156.63689,1781,371
213820,965.2,-9.9,408,-10.4,99.1,3.14,10.7,0,0,0,71.28685,156.63499,1779,369
213821,964.4,-9.6,414,-10.3,97.9,0.45,18.3,0,0,0,71.28719,156.63242,1778,372
213822,963.5,-9.5,422,-9.6,100,0.11,12.2,0,0,0,71.28754,156.62985,1776,374
213823,962.8,-9.5,428,-9.4,100,0.22,6.1,0,0,0,71.28788,156.62779,1775,381
