Time,Altitude,Pressure,RFTS,DewPt,LICDew,RH,ReHuI,CN3025,CN7610,CN3025_corrected,PCTcon,PCcn01,PCcn02,PCcn03,PCcn04,PCcn05,PCcn06,PCcn07,PCcn08,PCcn09,PCcn10,PCcn11,PCcn12,PCcn13,PCcn14,PCcn15
221138,88888,,-88.8,-8.4,,888.8,-88.8,0,0,,4839.3,978.7,985.6,1135.3,837,670.2,132.9,90.4,4.4,2.9,0.7,0.4,0.1,0.2,0.2,0.1
221338,88888,,-88.8,-8.6,,888.8,-88.8,0,0,,14458.6,3224.2,3428.8,3402.5,2261.6,1631.4,303.2,191.8,8.6,4.1,0.9,0.4,0.2,0.2,0.3,0.2
221538,98,1001.4,-2,-8.4,,57.1,57.8,0,0,,1310.2,501.8,358.5,222,118.8,74.9,15.4,13.3,2,2.2,0.6,0.2,0.1,0.2,0.2,0.1
221738,99,1001.3,-3.4,-8.2,-4.9,63.1,64.4,0,0,,3280.1,909.3,759.9,728.4,457.4,315,59.4,41.6,3.5,3.2,1.1,0.3,0.3,0.3,0.3,0.1
221938,45,1001.2,-4.4,-8.1,-4.8,70.5,73,0,0,,371.3,240.4,30.7,25.9,20.7,23.8,8.9,12.2,2.6,3.6,1,0.4,0.3,0.4,0.3,0.2
222138,194,981.3,-4.7,-10.5,-9.6,67,70.5,0,0,,178.9,95.3,19.9,18,14.1,16.2,5,6.6,1.4,1.4,0.4,0.2,0.1,0.1,0.1,0
222338,1220,867.7,-10.2,-15.3,-16.2,69,76.8,0,0,,56.1,7.6,12.1,11.6,9.5,9.4,2.5,2.5,0.4,0.2,0.2,0.1,0.1,0,0,0
222538,2355,754.2,-18.4,-20.6,-25.5,85.8,103.2,113,148,,59,7.9,12.3,12.5,9.7,10.4,2.9,2.8,0.2,0.1,0.1,0,0,0,0,0
222738,3359,663.9,-24.2,-30.4,-32.4,62.7,79.9,222,250,,120.9,14.6,23.8,23.8,21.2,23.3,6.7,6.4,0.5,0.3,0.1,0.1,0,0.1,0,0
222938,4357,583.3,-28.1,-37.9,-41.3,41.8,55.6,454,571,,306,44.4,68.9,63.6,51.4,49.5,13.4,12.7,1.4,0.4,0.1,0.1,0,0.1,0,0
223138,5071,530.5,-33.8,-39.4,-41.8,61.2,85.7,318,444,,316.8,44.1,68.6,66.5,52.4,52.9,15.6,13.9,1.4,0.4,0.4,0.2,0.1,0,0.1,0.2
223338,5687,488.1,-37.6,-41.1,-43.8,74.2,107.6,251,369,,296.6,38.2,66.8,63.6,48,50.1,13.5,12,2.3,1.2,0.3,0.3,0.1,0.2,0,0.1
223538,6244,452.3,-40.5,-42.9,-45.2,83.1,123.9,460,537,,213.6,33.8,52.6,48.8,33.4,29.4,9,5.8,0.4,0.2,0,0,0,0.1,0,0
223738,6674,426,-42.2,-44.6,-47.4,83.7,126.9,481,584,,272.3,44.5,69.3,58.3,39.4,38.1,10.3,8.2,2.9,0.5,0.4,0.1,0,0.1,0.1,0
223938,7072,402.9,-43.2,-45.8,-51.7,80.9,123.6,193,372,,238.3,37.5,58.4,45.9,33.4,40.9,9,9.5,2.5,0.2,0.3,0,0.2,0.2,0.2,0
224138,7294,390.4,-44.2,-47.5,-53,76,117.4,223,405,,18,2.8,4.3,3.7,2.8,2.6,0.8,0.7,0.2,0.1,0,0,0,0,0,0
224338,7294,390.4,-44.4,-47.9,-53.2,74.4,115,206,372,,20.1,3.2,4.9,4.2,3,2.7,0.8,0.9,0.3,0.1,0,0,0,0,0,0
224538,7289,390.7,-45,-47.6,-53,82,127.5,161,280,,20.4,3.1,4.4,4.3,3,3.8,0.6,0.9,0.3,0.1,0,0,0,0,0,0
224738,7289,390.7,-45,-48.4,-53.1,75.5,117.4,52,116,,,,,,,,,,,,,,,,,
224938,7291,390.6,-44.9,-48.6,-53.3,73.1,113.7,230,409,,,,,,,,,,,,,,,,,
225138,7295,390.4,-44.8,-48.1,-53.2,75.9,117.8,233,412,,,,,,,,,,,,,,,,,
225338,7294,390.4,-44.7,-48.1,-53.1,75,116.3,229,407,,,,,,,,,,,,,,,,,
225538,7289,390.7,-44.5,-48.2,-53.3,72,111.4,226,404,,,,,,,,,,,,,,,,,
225738,7296,390.3,-44.6,-47.7,-53.4,76.5,118.4,214,387,,,,,,,,,,,,,,,,,
225938,7296,390.3,-44.9,-47.7,-52.8,80,124.4,223,413,,,,,,,,,,,,,,,,,
230138,7298,390.2,-44.9,-47.8,-53.9,79.1,123,277,506,,,,,,,,,,,,,,,,,
230338,7289,390.7,-44.6,-48,-54.4,75.2,116.6,209,387,,,,,,,,,,,,,,,,,
230538,7298,390.2,-44.4,-47.9,-54.4,73.3,113.3,212,390,,,,,,,,,,,,,,,,,
230738,7298,390.2,-43.8,-47.8,-54.2,69.2,106.4,170,377,,,,,,,,,,,,,,,,,
230938,7295,390.4,-43.5,-47.6,-54.3,68.4,104.9,141,366,,,,,,,,,,,,,,,,,
231138,7299,390.2,-43,-47.4,-54.4,66,100.7,151,395,,,,,,,,,,,,,,,,,
231338,7303,389.9,-42.7,-47.2,-54.6,64.9,98.6,246,637,,,,,,,,,,,,,,,,,
231538,7302,390,-42.1,-47,-54.6,62.9,95,310,766,,,,,,,,,,,,,,,,,
231738,7293,390.5,-43.1,-46.7,-54.6,71.9,109.8,409,980,,,,,,,,,,,,,,,,,
231938,7294,390.4,-43,-46.8,-54.8,70.7,107.7,405,986,,,,,,,,,,,,,,,,,
232138,7297,390.3,-42.7,-46.8,-54.6,67.9,103.2,250,641,,,,,,,,,,,,,,,,,
232338,7293,390.5,-42.3,-46.7,-54.6,65.7,99.5,209,547,,,,,,,,,,,,,,,,,
232538,7298,390.2,-42,-46.6,-54.8,64.9,98,219,532,,,,,,,,,,,,,,,,,
232738,7295,390.4,-41.2,-46.3,-48.6,60.9,91.3,178,446,,,,,,,,,,,,,,,,,
232938,7296,390.3,-41.3,-44.8,-44.1,73.8,110.7,179,441,,,,,,,,,,,,,,,,,
233138,7294,390.4,-41.2,-41.9,-43.7,97.6,146.1,182,452,,,,,,,,,,,,,,,,,
233338,7295,390.4,-41.3,-41.8,-43.6,99.6,149.1,123,317,,,,,,,,,,,,,,,,,
233538,7296,390.3,-41.5,-42.5,-44.1,95.9,144.1,110,268,,,,,,,,,,,,,,,,,
233738,7291,390.6,-41.9,-42,-44,100,150.2,318,205,,,,,,,,,,,,,,,,,
233938,7279,391.3,-41.9,-41.7,-43.3,100,149.8,257,106,,,,,,,,,,,,,,,,,
234138,7271,391.7,-41.8,-41.5,-43.5,100,149.6,106,97,,,,,,,,,,,,,,,,,
234338,7268,391.9,-41.6,-42.5,-44.3,95.9,144.3,125,298,,,,,,,,,,,,,,,,,
234538,7274,391.5,-41.8,-42.6,-44.3,96.2,144.8,188,385,,,,,,,,,,,,,,,,,
234738,7276,391.4,-41.6,-42.6,-44.4,94.7,142.4,158,375,,,,,,,,,,,,,,,,,
234938,7276,391.4,-41.7,-42.7,-44.7,95.5,143.8,3,0,,,,,,,,,,,,,,,,,
235138,7278,391.3,-41.7,-42.7,-44.3,95.7,144.1,73,185,,,,,,,,,,,,,,,,,
235338,7204,395.4,-41.4,-42.7,-44.1,92.1,138.3,165,336,,,,,,,,,,,,,,,,,
235538,6893,413.2,-40.1,-41.6,-43.4,90.2,133.7,270,435,,,,,,,,,,,,,,,,,
235738,6527,434.9,-38.8,-40.2,-42.1,92.1,135,305,525,,,,,,,,,,,,,,,,,
235938,6128,459.6,-37.7,-37.8,-39.9,100,144.3,328,491,,,,,,,,,,,,,,,,,
000138,5679,488.7,-35.4,-35.2,-37.4,100,140.9,160,209,,,,,,,,,,,,,,,,,
000338,5202,521.2,-32.7,-32.4,-34.7,100,137.1,261,352,,,,,,,,,,,,,,,,,
000538,4758,553,-30.2,-30.5,-32.7,100,134.7,319,409,,,,,,,,,,,,,,,,,
000738,4339,584.4,-28.3,-28.4,-30.5,99.9,131.8,379,461,,,,,,,,,,,,,,,,,
000938,3949,615,-26.4,-26.7,-28.9,100,129.8,367,441,,,,,,,,,,,,,,,,,
001138,3561,646.7,-24.7,-25.3,-27.2,98.3,125.6,441,505,,,,,,,,,,,,,,,,,
001338,3184,678.7,-23.5,-24.5,-27.1,94,118.4,434,488,,,,,,,,,,,,,,,,,
001538,2813,711.5,-21.5,-35.5,-36.9,28.2,34.9,332,355,,,,,,,,,,,,,,,,,
001738,2430,746.6,-19.6,-33.6,-36,28.8,35,208,223,,,,,,,,,,,,,,,,,
001938,2050,782.9,-18.4,-31.1,-34.2,32.8,39.3,210,220,,,,,,,,,,,,,,,,,
002138,1619,825.9,-18,-23.9,-25.2,64.9,77.6,193,198,,,,,,,,,,,,,,,,,
002338,1130,876.8,-17,-20.3,-22.2,77.9,92.3,127,127,,119.5,18.3,24.2,23.9,20.7,20.9,6.1,4.6,0.5,0.2,0.2,0,0,0,0,0
002538,704,923.1,-16.3,-20.1,-21.9,74.8,88.1,130,132,,118.6,18.9,25.2,25.1,20.5,18.7,5.4,3.9,0.4,0.2,0.1,0.1,0,0,0,0
002738,331,965.3,-17.3,-20.2,-22.1,80.6,95.7,144,148,,134.1,18.2,26.7,28.6,23.3,23.8,6.7,5.2,0.6,0.3,0.1,0.1,0.1,0.1,0,0
