Time,Pressure,Temperature,Altitude,DewPt,RH,FS96CNC,  PCTcon,CN3025,CN7610,CN3025_corrected,Latitude,Longitude,CO2,H2O
184528,1000.7,-9.2,45,-10.3,94.6,0,1487.6,,,0,71.28564,156.75859,2625,480
184529,1000.1,-9.2,50,-9.8,97.5,0,1557.5,,,0,71.28564,156.75653,2625,480
184530,999.8,-9.2,53,-9.9,97.1,0,1539.7,,,0,71.28548,156.75447,2624,480
184531,999.4,-9.3,56,-10.3,93.9,0,1441.5,,,0,71.28548,156.75258,2624,480
184532,999,-9.4,59,-9.9,97.5,0.05,1481.3,,,0,71.28548,156.75104,2623,481
184533,998.3,-9.4,65,-9.8,98.6,0.28,1522.6,,,0,71.28548,156.74881,2604,477
184534,997.8,-9.5,70,-10.4,94.9,0,1563,,,0,71.28548,156.74675,2605,477
184535,997.2,-9.6,74,-10.1,97.9,0,1598.1,,,0,71.28548,156.74469,2607,477
184536,996.6,-9.6,79,-10,98.3,0,1518.6,,,0,71.28548,156.74246,2612,478
184537,995.8,-9.7,86,-10.5,95,0,1450.7,,,0,71.28548,156.74057,2617,478
184538,995,-9.7,93,-10.3,97.5,0.04,1431.5,,,0,71.28548,156.73868,2619,477
184539,994.3,-9.7,99,-10,99.6,0.27,1671.2,,,0,71.28548,156.73679,2621,476
184540,994,-9.8,102,-10.5,96.1,0,1670.4,,,0,71.28548,156.73404,2621,475
184541,993.4,-9.9,107,-10.3,98.9,0,1688.2,,,0,71.28548,156.7325,2620,474
184542,993,-10,110,-10,100,0,1632,,,0,71.28548,156.72992,2619,474
184543,992.5,-10,114,-10.5,98.1,0,1634.3,,,0,71.28548,156.72873,2618,473
184544,991.9,-9.9,119,-10.3,99.5,0,1751.3,,,0,71.28548,156.7253,2613,472
184545,991.7,-10,121,-9.9,100,0,1680.8,,,0,71.2853,156.72374,2604,471
184546,991.2,-10,125,-10.5,98.1,0,1777.7,,,0,71.2853,156.72118,2593,470
184547,990.9,-10.1,128,-10.4,99.4,16.19,1696.1,,,0,71.2853,156.7186,2586,468
184548,990.1,-10.1,135,-10,100,7.18,1734.9,,,0,71.2853,156.71619,2580,467
184549,989.6,-10.2,139,-10.6,98.4,9.61,1855.3,,,0,71.2853,156.71448,2573,466
184550,988.8,-10.2,145,-10.6,98.8,44.69,1714,,,0,71.2853,156.71138,2563,466
184551,988.3,-10.2,150,-10,100,46.05,1774.4,,,0,71.2853,156.70967,2551,464
