  TRAJ MGRID  YEAR MONTH  DATE  HOUR   MIN FOREH     AGE      LAT     LONG ALTITUDE PRESSURE    THETA AIR_TEMP RAINFALL MIXDEPTH RELHUMID TERR_MSL SUN_FLUX
     1     1    15     4    13    17     0     1     0.0   80.205 -101.526   2986.8    667.7    277.1    246.9      0.0    295.2     21.5     88.2    192.0
     2     1    15     4    13    17     0     1     0.0   80.205 -101.526   2998.9    667.4    277.6    247.3      0.0    261.4     25.9     76.1    185.7
     3     1    15     4    13    17     0     1     0.0   80.205 -101.526   2986.2    667.2    276.7    246.5      0.0    336.6     17.8     88.8    194.2
     4     1    15     4    13    17     0     1     0.0   80.205 -101.526   2986.1    667.7    277.0    246.8      0.0    286.5     18.3     88.9    196.8
     5     1    15     4    13    17     0     1     0.0   80.205 -101.526   2986.7    668.0    277.5    247.2      0.0    240.7     24.1     88.3    191.3
     6     1    15     4    13    17     0     1     0.0   80.205 -101.526   2986.2    667.2    276.6    246.3      0.0    337.2     15.7     88.8    199.8
     7     1    15     4    13    17     0     1     0.0   80.205 -101.526   2998.0    667.1    277.2    246.9      0.0    304.7     23.2     77.0    189.0
     8     1    15     4    13    17     0     1     0.0   80.205 -101.526   3015.2    666.7    277.7    247.3      0.0    274.2     29.3     59.8    185.6
     9     1    15     4    13    17     0     1     0.0   80.205 -101.526   2987.0    667.2    276.8    246.6      0.0    325.2     17.6     88.0    191.9
    10     1    15     4    13    17     0     1     0.0   80.205 -101.526   2986.8    691.1    276.1    248.4      0.0    295.2     17.1     88.2    192.0
    11     1    15     4    13    17     0     1     0.0   80.205 -101.526   2998.9    690.8    276.5    248.7      0.0    261.4     16.7     76.1    185.7
    12     1    15     4    13    17     0     1     0.0   80.205 -101.526   2986.2    690.6    275.6    248.0      0.0    336.6     14.5     88.8    194.2
    13     1    15     4    13    17     0     1     0.0   80.205 -101.526   2986.1    691.1    276.0    248.3      0.0    286.5     14.3     88.9    196.8
    14     1    15     4    13    17     0     1     0.0   80.205 -101.526   2986.7    691.4    276.4    248.7      0.0    240.7     16.6     88.3    191.3
    15     1    15     4    13    17     0     1     0.0   80.205 -101.526   2986.2    690.6    275.5    247.8      0.0    337.2     12.7     88.8    199.8
    16     1    15     4    13    17     0     1     0.0   80.205 -101.526   2998.0    690.5    276.2    248.4      0.0    304.7     17.1     77.0    189.0
    17     1    15     4    13    17     0     1     0.0   80.205 -101.526   3015.2    690.0    276.6    248.7      0.0    274.2     18.9     59.8    185.6
    18     1    15     4    13    17     0     1     0.0   80.205 -101.526   2987.0    690.6    275.8    248.1      0.0    325.2     14.4     88.0    191.9
    19     1    15     4    13    17     0     1     0.0   80.205 -101.526   2986.8    645.0    278.2    245.4      0.0    295.2     28.4     88.2    192.0
    20     1    15     4    13    17     0     1     0.0   80.205 -101.526   2998.9    644.8    278.7    245.8      0.0    261.4     37.2     76.1    185.7
    21     1    15     4    13    17     0     1     0.0   80.205 -101.526   2986.2    644.5    277.7    244.9      0.0    336.6     23.0     88.8    194.2
    22     1    15     4    13    17     0     1     0.0   80.205 -101.526   2986.1    644.9    278.0    245.3      0.0    286.5     26.2     88.9    196.8
    23     1    15     4    13    17     0     1     0.0   80.205 -101.526   2986.7    645.4    278.5    245.8      0.0    240.7     34.6     88.3    191.3
    24     1    15     4    13    17     0     1     0.0   80.205 -101.526   2986.2    644.4    277.6    244.8      0.0    337.2     21.8     88.8    199.8
