  TRAJ MGRID  YEAR MONTH  DATE  HOUR   MIN FOREH     AGE      LAT     LONG ALTITUDE PRESSURE    THETA AIR_TEMP RAINFALL MIXDEPTH RELHUMID TERR_MSL SUN_FLUX
     1     1    15     4    13    17     0     1     0.0   80.302 -100.362   2713.2    693.4    275.8    248.4      0.0    304.1     15.1     88.8    199.1
     2     1    15     4    13    17     0     1     0.0   80.302 -100.362   2713.1    693.8    276.2    248.8      0.0    252.4     16.4     88.9    192.2
     3     1    15     4    13    17     0     1     0.0   80.302 -100.362   2713.2    693.0    275.3    247.9      0.0    347.1     12.9     88.8    202.3
     4     1    15     4    13    17     0     1     0.0   80.302 -100.362   2710.0    693.4    275.7    248.2      0.0    318.7     15.3     92.0    199.1
     5     1    15     4    13    17     0     1     0.0   80.302 -100.362   2713.2    693.7    276.1    248.7      0.0    252.4     16.5     88.8    194.1
     6     1    15     4    13    17     0     1     0.0   80.302 -100.362   2708.3    693.0    275.1    247.7      0.0    375.6     13.1     93.7    201.0
     7     1    15     4    13    17     0     1     0.0   80.302 -100.362   2713.1    693.4    275.9    248.5      0.0    280.7     15.0     88.9    197.6
     8     1    15     4    13    17     0     1     0.0   80.302 -100.362   2713.1    693.8    276.3    248.9      0.0    240.1     16.2     88.9    189.9
     9     1    15     4    13    17     0     1     0.0   80.302 -100.362   2713.2    693.0    275.5    248.0      0.0    331.3     12.7     88.8    200.0
    10     1    15     4    13    17     0     1     0.0   80.302 -100.362   2713.2    717.5    274.8    249.9      0.0    304.1     14.4     88.8    199.1
    11     1    15     4    13    17     0     1     0.0   80.302 -100.362   2713.1    717.8    275.1    250.2      0.0    252.4     14.4     88.9    192.2
    12     1    15     4    13    17     0     1     0.0   80.302 -100.362   2713.2    717.1    274.3    249.4      0.0    347.1     14.3     88.8    202.3
    13     1    15     4    13    17     0     1     0.0   80.302 -100.362   2710.0    717.5    274.6    249.7      0.0    318.7     14.6     92.0    199.1
    14     1    15     4    13    17     0     1     0.0   80.302 -100.362   2713.2    717.8    275.0    250.2      0.0    252.4     14.5     88.8    194.1
    15     1    15     4    13    17     0     1     0.0   80.302 -100.362   2708.3    717.1    274.1    249.2      0.0    375.6     14.6     93.7    201.0
    16     1    15     4    13    17     0     1     0.0   80.302 -100.362   2713.1    717.5    274.8    249.9      0.0    280.7     14.3     88.9    197.6
    17     1    15     4    13    17     0     1     0.0   80.302 -100.362   2713.1    717.8    275.2    250.3      0.0    240.1     14.3     88.9    189.9
    18     1    15     4    13    17     0     1     0.0   80.302 -100.362   2713.2    717.1    274.4    249.5      0.0    331.3     14.2     88.8    200.0
    19     1    15     4    13    17     0     1     0.0   80.302 -100.362   2713.2    670.0    276.8    246.9      0.0    304.1     19.5     88.8    199.1
    20     1    15     4    13    17     0     1     0.0   80.302 -100.362   2713.1    670.3    277.3    247.4      0.0    252.4     24.3     88.9    192.2
    21     1    15     4    13    17     0     1     0.0   80.302 -100.362   2713.2    669.5    276.3    246.4      0.0    347.1     15.7     88.8    202.3
    22     1    15     4    13    17     0     1     0.0   80.302 -100.362   2710.0    669.9    276.7    246.7      0.0    318.7     20.1     92.0    199.1
    23     1    15     4    13    17     0     1     0.0   80.302 -100.362   2713.2    670.3    277.2    247.2      0.0    252.4     24.3     88.8    194.1
    24     1    15     4    13    17     0     1     0.0   80.302 -100.362   2708.3    669.5    276.2    246.2      0.0    375.6     16.7     93.7    201.0
    25     1    15     4    13    17     0     1     0.0   80.302 -100.362   2713.1    670.0    277.0    247.0      0.0    280.7     19.1     88.9    197.6
    26     1    15     4    13    17     0     1     0.0   80.302 -100.362   2713.1    670.4    277.4    247.4      0.0    240.1     24.1     88.9    189.9
    27     1    15     4    13    17     0     1     0.0   80.302 -100.362   2713.2    669.5    276.5    246.5      0.0    331.3     15.2     88.8    200.0
     1     1    15     4    13    16     0     2    -1.0   80.672  -98.952   2705.2    694.3    276.1    248.7      0.0    253.0     14.6     88.8    180.4
     2     1    15     4    13    16     0     2    -1.0   80.675  -98.830   2689.0    696.1    276.5    249.3      0.0    213.1     16.0     88.8    175.9
     3     1    15     4    13    16     0     2    -1.0   80.664  -99.048   2713.3    689.5    275.8    248.0      0.0    320.5     13.7    126.2    176.0
     4     1    15     4    13    16     0     2    -1.0   80.666  -98.928   2703.6    694.4    275.9    248.6      0.0    260.1     14.9     88.6    180.4
     5     1    15     4    13    16     0     2    -1.0   80.669  -98.812   2689.0    696.1    276.4    249.2      0.0    228.4     16.3     88.7    176.6
     6     1    15     4    13    16     0     2    -1.0   80.656  -99.022   2727.7    689.7    275.6    247.8      0.0    318.7     15.5    109.6    179.3
     7     1    15     4    13    16     0     2    -1.0   80.680  -98.973   2705.1    694.3    276.2    248.8      0.0    251.7     14.5     88.8    180.4
     8     1    15     4    13    16     0     2    -1.0   80.680  -98.853   2688.7    696.2    276.6    249.4      0.0    210.7     15.8     88.9    175.1
     9     1    15     4    13    16     0     2    -1.0   80.671  -99.068   2706.6    692.2    275.7    248.2      0.0    341.0     13.6    105.4    176.7
    10     1    15     4    13    16     0     2    -1.0   80.651  -99.091   2718.4    717.1    275.0    250.0      0.0    255.3     14.2     88.8    180.5
    11     1    15     4    13    16     0     2    -1.0   80.651  -98.959   2700.0    719.2    275.4    250.6      0.0    211.3     14.2     88.8    176.2
    12     1    15     4    13    16     0     2    -1.0   80.641  -99.198   2710.5    714.1    274.6    249.4      0.0    332.8     14.5    122.4    175.6
    13     1    15     4    13    16     0     2    -1.0   80.644  -99.070   2716.6    717.2    274.9    250.0      0.0    259.0     14.7     88.6    180.6
    14     1    15     4    13    16     0     2    -1.0   80.646  -98.935   2700.1    719.1    275.3    250.5      0.0    222.2     15.3     88.8    176.5
    15     1    15     4    13    16     0     2    -1.0   80.634  -99.177   2734.9    712.2    274.6    249.2      0.0    321.6     14.8    117.7    178.0
    16     1    15     4    13    16     0     2    -1.0   80.659  -99.112   2718.9    717.0    275.1    250.2      0.0    254.4     14.1     88.8    179.5
    17     1    15     4    13    16     0     2    -1.0   80.656  -98.981   2699.6    719.2    275.5    250.7      0.0    210.7     13.9     88.9    175.4
    18     1    15     4    13    16     0     2    -1.0   80.650  -99.216   2708.4    716.6    274.7    249.7      0.0    336.5     14.3    100.4    177.8
    19     1    15     4    13    16     0     2    -1.0   80.699  -98.842   2705.8    670.8    277.1    247.2      0.0    250.6     19.7     88.7    180.3
    20     1    15     4    13    16     0     2    -1.0   80.697  -98.735   2691.5    672.5    277.6    247.8      0.0    214.1     23.5     88.8    175.5
    21     1    15     4    13    16     0     2    -1.0   80.691  -98.915   2710.9    666.8    276.8    246.5      0.0    314.3     18.5    121.8    177.0
    22     1    15     4    13    16     0     2    -1.0   80.692  -98.815   2703.9    670.9    277.0    247.1      0.0    262.8     19.8     88.6    180.3
    23     1    15     4    13    16     0     2    -1.0   80.692  -98.713   2691.6    672.4    277.5    247.7      0.0    232.4     22.9     88.7    176.8
    24     1    15     4    13    16     0     2    -1.0   80.684  -98.886   2723.2    667.4    276.6    246.4      0.0    314.5     19.3    102.9    180.0
    25     1    15     4    13    16     0     2    -1.0   80.707  -98.871   2706.7    670.7    277.3    247.3      0.0    248.2     19.5     88.8    180.2
    26     1    15     4    13    16     0     2    -1.0   80.704  -98.759   2691.4    672.5    277.7    247.9      0.0    210.7     23.4     88.9    174.8
    27     1    15     4    13    16     0     2    -1.0   80.699  -98.939   2706.9    668.4    276.8    246.7      0.0    335.8     18.1    108.5    176.5
     1     1    15     4    13    15     0     3    -2.0   81.025  -97.375   2690.8    695.7    276.3    249.0      0.0    254.9     12.7     88.5    160.0
     2     1    15     4    13    15     0     3    -2.0   81.027  -97.168   2657.3    699.2    276.7    249.7      0.0    190.6     17.1     88.2    159.6
     3     1    15     4    13    15     0     3    -2.0   81.014  -97.474   2731.7    691.6    275.9    248.2      0.0    258.0     12.8     88.4    160.4
     4     1    15     4    13    15     0     3    -2.0   81.012  -97.325   2697.4    695.0    276.2    248.9      0.0    256.5     12.6     88.4    160.0
     5     1    15     4    13    15     0     3    -2.0   81.016  -97.122   2661.8    698.7    276.6    249.6      0.0    191.9     17.3     88.7    159.9
     6     1    15     4    13    15     0     3    -2.0   81.000  -97.416   2738.9    691.4    275.8    248.2      0.0    247.3     12.8     83.4    170.7
     7     1    15     4    13    15     0     3    -2.0   81.037  -97.425   2684.7    696.3    276.3    249.2      0.0    253.3     12.8     88.6    160.0
     8     1    15     4    13    15     0     3    -2.0   81.037  -97.217   2658.0    699.3    276.8    249.8      0.0    189.3     17.1     86.6    159.4
     9     1    15     4    13    15     0     3    -2.0   81.028  -97.530   2722.0    692.5    276.0    248.4      0.0    257.8     12.7     88.5    160.0
    10     1    15     4    13    15     0     3    -2.0   80.978  -97.630   2718.7    717.1    275.3    250.3      0.0    258.0     13.6     88.6    160.0
    11     1    15     4    13    15     0     3    -2.0   80.981  -97.396   2680.3    721.0    275.6    251.0      0.0    196.5     14.2     88.7    160.0
    12     1    15     4    13    15     0     3    -2.0   80.965  -97.788   2750.7    713.7    274.8    249.6      0.0    260.6     14.0     88.4    160.2
    13     1    15     4    13    15     0     3    -2.0   80.964  -97.588   2718.9    717.0    275.2    250.2      0.0    258.0     13.7     88.5    160.5
    14     1    15     4    13    15     0     3    -2.0   80.971  -97.341   2682.7    720.7    275.6    250.9      0.0    197.8     14.3     88.7    160.0
    15     1    15     4    13    15     0     3    -2.0   80.951  -97.727   2764.7    712.2    274.8    249.3      0.0    258.0     14.1     89.9    164.7
    16     1    15     4    13    15     0     3    -2.0   80.992  -97.675   2718.2    717.2    275.4    250.4      0.0    236.0     13.5     88.7    160.0
    17     1    15     4    13    15     0     3    -2.0   80.991  -97.446   2685.7    720.5    275.7    251.0      0.0    195.2     14.2     88.8    160.0
    18     1    15     4    13    15     0     3    -2.0   80.981  -97.839   2736.7    715.0    275.0    249.8      0.0    260.5     13.9     89.3    160.0
    19     1    15     4    13    15     0     3    -2.0   81.077  -97.168   2685.8    672.7    277.3    247.6      0.0    248.2     16.8     88.5    160.0
    20     1    15     4    13    15     0     3    -2.0   81.068  -96.973   2658.6    675.5    277.8    248.3      0.0    185.3     23.4     88.7    159.0
    21     1    15     4    13    15     0     3    -2.0   81.069  -97.219   2721.3    669.2    276.9    246.9      0.0    258.0     17.0     88.4    163.9
    22     1    15     4    13    15     0     3    -2.0   81.063  -97.110   2688.1    672.4    277.2    247.5      0.0    250.0     16.7     88.4    160.0
    23     1    15     4    13    15     0     3    -2.0   81.057  -96.924   2660.9    675.2    277.6    248.1      0.0    186.7     23.4     88.7    160.0
    24     1    15     4    13    15     0     3    -2.0   81.056  -97.154   2727.1    670.4    276.7    246.8      0.0    218.7     17.2     70.6    176.9
    25     1    15     4    13    15     0     3    -2.0   81.089  -97.230   2681.2    673.2    277.4    247.7      0.0    246.6     16.7     88.6    160.0
    26     1    15     4    13    15     0     3    -2.0   81.079  -97.023   2658.6    676.0    277.8    248.4      0.0    183.9     23.5     84.1    158.7
    27     1    15     4    13    15     0     3    -2.0   81.084  -97.279   2715.3    669.7    277.0    247.0      0.0    258.0     16.7     88.5    160.0
