  TRAJ MGRID  YEAR MONTH  DATE  HOUR   MIN FOREH     AGE      LAT     LONG ALTITUDE PRESSURE    THETA AIR_TEMP RAINFALL MIXDEPTH RELHUMID TERR_MSL SUN_FLUX
     1     1    15     4    13    19     0     1     0.0   80.158 -100.256    725.9    907.7    260.2    253.1      0.0    334.2     56.4     83.1    252.1
     2     1    15     4    13    19     0     1     0.0   80.158 -100.256    725.9    907.8    260.6    253.5      0.0    274.2     52.9     83.1    244.9
     3     1    15     4    13    19     0     1     0.0   80.158 -100.256    725.9    907.5    259.8    252.6      0.0    390.8     59.1     83.1    255.1
     4     1    15     4    13    19     0     1     0.0   80.158 -100.256    716.2    907.2    260.2    253.0      0.0    349.1     54.4     92.8    250.2
     5     1    15     4    13    19     0     1     0.0   80.158 -100.256    725.9    907.7    260.6    253.5      0.0    270.8     49.8     83.1    247.6
     6     1    15     4    13    19     0     1     0.0   80.158 -100.256    721.5    907.3    260.0    252.8      0.0    405.0     57.7     87.5    254.7
     7     1    15     4    13    19     0     1     0.0   80.158 -100.256    725.8    907.7    260.1    253.0      0.0    316.6     60.6     83.2    250.1
     8     1    15     4    13    19     0     1     0.0   80.158 -100.256    725.8    907.9    260.6    253.5      0.0    269.9     58.1     83.2    244.1
     9     1    15     4    13    19     0     1     0.0   80.158 -100.256    725.9    907.5    259.6    252.4      0.0    377.3     63.1     83.1    254.2
    10     1    15     4    13    19     0     1     0.0   80.158 -100.256    725.9    938.8    255.8    251.3      0.0    334.2     75.6     83.1    252.1
    11     1    15     4    13    19     0     1     0.0   80.158 -100.256    725.9    938.9    256.3    251.7      0.0    274.2     74.8     83.1    244.9
    12     1    15     4    13    19     0     1     0.0   80.158 -100.256    725.9    938.7    255.2    250.6      0.0    390.8     74.4     83.1    255.1
    13     1    15     4    13    19     0     1     0.0   80.158 -100.256    716.2    938.3    255.7    251.1      0.0    349.1     76.3     92.8    250.2
    14     1    15     4    13    19     0     1     0.0   80.158 -100.256    725.9    938.8    256.2    251.6      0.0    270.8     73.8     83.1    247.6
    15     1    15     4    13    19     0     1     0.0   80.158 -100.256    721.5    938.4    255.2    250.6      0.0    405.0     73.5     87.5    254.7
    16     1    15     4    13    19     0     1     0.0   80.158 -100.256    725.8    938.8    255.8    251.3      0.0    316.6     76.6     83.2    250.1
    17     1    15     4    13    19     0     1     0.0   80.158 -100.256    725.8    938.9    256.3    251.8      0.0    269.9     75.5     83.2    244.1
    18     1    15     4    13    19     0     1     0.0   80.158 -100.256    725.9    938.7    255.2    250.6      0.0    377.3     74.6     83.1    254.2
    19     1    15     4    13    19     0     1     0.0   80.158 -100.256    725.9    877.7    264.2    254.5      0.0    334.2     34.1     83.1    252.1
    20     1    15     4    13    19     0     1     0.0   80.158 -100.256    725.9    877.9    264.5    254.9      0.0    274.2     29.3     83.1    244.9
    21     1    15     4    13    19     0     1     0.0   80.158 -100.256    725.9    877.5    263.8    254.1      0.0    390.8     37.4     83.1    255.1
    22     1    15     4    13    19     0     1     0.0   80.158 -100.256    716.2    877.3    264.2    254.5      0.0    349.1     32.3     92.8    250.2
    23     1    15     4    13    19     0     1     0.0   80.158 -100.256    725.9    877.9    264.6    254.9      0.0    270.8     27.2     83.1    247.6
    24     1    15     4    13    19     0     1     0.0   80.158 -100.256    721.5    877.3    264.0    254.3      0.0    405.0     36.5     87.5    254.7
    25     1    15     4    13    19     0     1     0.0   80.158 -100.256    725.8    877.8    264.0    254.4      0.0    316.6     35.3     83.2    250.1
    26     1    15     4    13    19     0     1     0.0   80.158 -100.256    725.8    878.0    264.5    254.8      0.0    269.9     32.4     83.2    244.1
    27     1    15     4    13    19     0     1     0.0   80.158 -100.256    725.9    877.5    263.6    253.9      0.0    377.3     38.7     83.1    254.2
     1     1    15     4    13    18     0     0    -1.0   80.549  -99.697    693.3    911.4    260.0    253.2      0.0    301.8     59.0     83.0    220.1
     2     1    15     4    13    18     0     0    -1.0   80.537  -99.612    695.5    911.3    260.3    253.4      0.0    244.0     57.6     83.2    213.1
     3     1    15     4    13    18     0     0    -1.0   80.543  -99.800    691.0    910.2    259.7    252.8      0.0    366.5     61.4     93.7    220.7
     4     1    15     4    13    18     0     0    -1.0   80.543  -99.674    683.1    912.6    259.8    253.1      0.0    302.5     60.2     83.0    223.3
     5     1    15     4    13    18     0     0    -1.0   80.535  -99.577    704.2    910.1    260.4    253.5      0.0    244.0     55.8     83.1    215.3
     6     1    15     4    13    18     0     0    -1.0   80.525  -99.814    688.9    906.9    259.9    252.8      0.0    368.9     58.3    121.1    216.4
     7     1    15     4    13    18     0     0    -1.0   80.552  -99.731    699.5    910.7    260.1    253.2      0.0    301.3     61.5     83.1    215.2
     8     1    15     4    13    18     0     0    -1.0   80.540  -99.641    703.1    910.4    260.4    253.5      0.0    244.0     58.3     83.2    207.2
     9     1    15     4    13    18     0     0    -1.0   80.556  -99.798    700.7    910.4    259.7    252.8      0.0    347.9     61.4     83.1    223.1
    10     1    15     4    13    18     0     0    -1.0   80.554  -99.753    692.0    942.8    255.5    251.3      0.0    301.1     78.3     83.1    219.1
    11     1    15     4    13    18     0     0    -1.0   80.527  -99.729    691.9    942.9    255.9    251.6      0.0    244.0     78.1     83.2    211.7
    12     1    15     4    13    18     0     0    -1.0   80.560  -99.835    685.0    942.5    255.0    250.7      0.0    364.3     79.5     91.5    221.0
    13     1    15     4    13    18     0     0    -1.0   80.558  -99.714    693.5    942.5    255.5    251.2      0.0    300.6     76.3     83.0    223.1
    14     1    15     4    13    18     0     0    -1.0   80.533  -99.687    707.3    940.9    256.0    251.6      0.0    244.0     75.6     83.1    215.3
    15     1    15     4    13    18     0     0    -1.0   80.552  -99.841    688.0    938.6    255.0    250.4      0.0    365.4     77.0    117.5    216.8
    16     1    15     4    13    18     0     0    -1.0   80.547  -99.797    699.3    941.9    255.8    251.4      0.0    302.0     80.2     83.1    215.2
    17     1    15     4    13    18     0     0    -1.0   80.525  -99.769    709.8    940.7    256.3    251.8      0.0    244.0     77.7     83.2    207.4
    18     1    15     4    13    18     0     0    -1.0   80.559  -99.848    708.8    940.6    255.4    251.0      0.0    344.8     77.8     83.1    223.1
    19     1    15     4    13    18     0     0    -1.0   80.526  -99.626    716.4    878.6    264.1    254.5      0.0    304.7     32.3     83.0    221.6
    20     1    15     4    13    18     0     0    -1.0   80.529  -99.436    723.1    878.0    264.6    254.9      0.0    244.0     25.9     83.2    215.1
    21     1    15     4    13    18     0     0    -1.0   80.509  -99.782    704.6    878.3    263.9    254.3      0.0    370.9     37.4     95.6    220.5
    22     1    15     4    13    18     0     0    -1.0   80.510  -99.637    711.5    879.1    264.1    254.5      0.0    306.7     29.2     82.9    223.8
    23     1    15     4    13    18     0     0    -1.0   80.521  -99.416    723.4    877.9    264.6    254.9      0.0    249.2     25.7     83.1    215.7
    24     1    15     4    13    18     0     0    -1.0   80.483  -99.806    718.5    873.4    264.5    254.5      0.0    372.7     32.8    122.1    216.4
    25     1    15     4    13    18     0     0    -1.0   80.537  -99.634    723.5    877.8    264.1    254.5      0.0    303.3     33.7     83.1    215.4
    26     1    15     4    13    18     0     0    -1.0   80.534  -99.465    724.0    877.9    264.7    255.1      0.0    244.0     25.6     83.2    208.0
    27     1    15     4    13    18     0     0    -1.0   80.530  -99.778    713.6    878.8    263.9    254.3      0.0    351.4     39.8     83.1    223.5
     1     1    15     4    13    17     0     1    -2.0   80.929  -98.998    670.1    914.0    259.9    253.3      0.0    236.5     63.1     88.8    198.1
     2     1    15     4    13    17     0     1    -2.0   80.900  -98.842    675.7    913.5    260.1    253.5      0.0    228.7     56.0     88.9    190.9
     3     1    15     4    13    17     0     1    -2.0   80.932  -99.180    656.9    914.7    259.6    253.1      0.0    301.2     64.3     95.3    201.6
     4     1    15     4    13    17     0     1    -2.0   80.919  -98.931    668.5    914.2    259.9    253.3      0.0    258.6     58.8     88.7    198.2
     5     1    15     4    13    17     0     1    -2.0   80.896  -98.744    694.9    911.1    260.5    253.6      0.0    234.1     53.1     88.8    192.1
     6     1    15     4    13    17     0     1    -2.0   80.894  -99.194    676.6    912.0    260.1    253.4      0.0    305.0     56.6     97.3    201.3
     7     1    15     4    13    17     0     1    -2.0   80.934  -99.078    668.5    914.3    259.9    253.3      0.0    235.8     64.8     88.8    196.8
     8     1    15     4    13    17     0     1    -2.0   80.905  -98.895    676.8    913.4    260.3    253.6      0.0    227.4     61.5     88.9    187.4
     9     1    15     4    13    17     0     1    -2.0   80.953  -99.192    668.7    913.9    259.7    253.1      0.0    298.6     64.2     90.5    200.3
    10     1    15     4    13    17     0     1    -2.0   80.938  -99.151    673.8    944.9    255.5    251.3      0.0    235.3     75.9     88.8    198.0
    11     1    15     4    13    17     0     1    -2.0   80.878  -99.121    674.6    944.9    255.8    251.7      0.0    227.4     73.2     88.9    190.3
    12     1    15     4    13    17     0     1    -2.0   80.971  -99.263    654.9    946.9    254.8    250.9      0.0    295.7     76.0     91.2    202.2
    13     1    15     4    13    17     0     1    -2.0   80.949  -99.037    695.8    942.0    255.8    251.4      0.0    251.6     74.8     88.7    197.9
    14     1    15     4    13    17     0     1    -2.0   80.887  -99.023    707.7    940.6    256.3    251.9      0.0    232.0     72.1     88.8    191.1
    15     1    15     4    13    17     0     1    -2.0   80.960  -99.239    680.9    943.4    255.3    251.1      0.0    296.5     75.5     92.1    202.1
    16     1    15     4    13    17     0     1    -2.0   80.924  -99.254    664.7    946.1    255.5    251.4      0.0    237.1     76.5     88.8    194.3
    17     1    15     4    13    17     0     1    -2.0   80.877  -99.191    692.7    943.0    256.2    252.0      0.0    227.4     73.4     80.5    185.8
    18     1    15     4    13    17     0     1    -2.0   80.968  -99.296    676.6    944.4    255.3    251.2      0.0    296.0     77.0     89.6    199.5
    19     1    15     4    13    17     0     1    -2.0   80.880  -98.807    716.2    878.5    264.6    254.9      0.0    249.0     31.1     88.8    198.6
    20     1    15     4    13    17     0     1    -2.0   80.886  -98.406    723.0    877.8    264.9    255.3      0.0    233.2     27.9     88.8    191.5
    21     1    15     4    13    17     0     1    -2.0   80.853  -99.161    702.8    878.2    264.3    254.7      0.0    312.3     35.0    103.2    200.3
    22     1    15     4    13    17     0     1    -2.0   80.849  -98.831    711.7    879.0    264.6    255.0      0.0    268.8     31.3     88.7    198.9
    23     1    15     4    13    17     0     1    -2.0   80.870  -98.360    724.3    877.6    265.0    255.3      0.0    238.5     25.4     88.8    194.5
    24     1    15     4    13    17     0     1    -2.0   80.799  -99.224    745.4    872.8    265.1    255.0      0.0    317.1     32.7    105.7    200.0
    25     1    15     4    13    17     0     1    -2.0   80.903  -98.813    723.3    877.7    264.6    254.9      0.0    239.8     32.6     88.8    198.4
    26     1    15     4    13    17     0     1    -2.0   80.898  -98.461    723.8    877.8    265.0    255.3      0.0    227.7     28.8     88.9    191.0
    27     1    15     4    13    17     0     1    -2.0   80.895  -99.133    699.4    879.8    264.1    254.6      0.0    308.1     38.7     93.3    200.3
     1     1    15     4    13    16     0     2    -3.0   81.286  -98.090    678.4    912.8    260.2    253.5      0.0    230.3     62.1     88.8    176.6
