Time,Altitude,Pressure,RFTS,DewPt,LICDew,RH,ReHuI,CN3025,CN7610,CN3025_corrected,PCTcon,PCcn01,PCcn02,PCcn03,PCcn04,PCcn05,PCcn06,PCcn07,PCcn08,PCcn09,PCcn10,PCcn11,PCcn12,PCcn13,PCcn14,PCcn15
190004,186,999.3,-6.8,-13.9,-16.7,59.4,64.2,0,0,,14653,-999.9,1843.5,22.5,18.8,23.2,9.1,15.6,3.8,3.9,1.7,0.8,0.1,0.1,0.1,0.1
190204,232,993.8,-4.1,-13.9,-8.9,47.8,49.9,0,0,,820.7,685.5,48.6,25.4,16.7,19.8,7.1,10.9,2.2,2.7,0.8,0.2,0.2,0.2,0.2,0.1
190404,229,994.2,-4.3,-13.7,-8.3,49.5,51.9,0,0,,725.5,639.5,15,15.2,14.8,19.2,6.8,10.2,2,2.1,0.4,0.1,0,0.1,0,0
190604,240,992.8,-4.1,-17.1,-7.9,37.8,39.6,0,0,,2265.7,1204.1,466.3,289.4,156,103.3,20.9,19.3,2.6,2.9,0.6,0.1,0.1,0.1,0.1,0
190804,708,939.1,-7.7,-15.1,-16.4,56.8,61.5,0,0,,79.6,9.7,15.3,16.6,14.3,15.4,3.7,3.9,0.3,0.2,0.1,0.1,0,0.1,0,0
191004,1497,853.1,-10,-22.2,-25,39.7,43.8,192,166,,168.5,21.8,34.8,36.9,29.4,29.3,7.1,7.9,0.7,0.2,0.2,0.2,0,0.1,0,0
191204,2182,783.8,-12.8,-31.7,-34.8,19.6,22.2,331,353,,250.8,32.9,52.5,52.7,43.1,42.9,11.2,12.7,1.4,0.6,0.2,0.2,0.1,0.1,0.1,0.1
191404,2768,728.2,-15.3,-32.5,-34.7,22.3,26,312,338,,233.5,29.5,47.4,47.9,41.3,39.5,12.2,13.1,1.6,0.3,0.2,0.1,0,0.1,0.1,0
191604,3364,675,-17.1,-34.6,-44.1,21.2,25.2,394,458,,302.8,41.3,62.2,62.2,50,53.7,14.6,15.5,2,0.6,0.2,0.1,0.1,0.1,0.1,0
191804,3953,625.6,-19.3,-34,-40.1,27.7,33.6,422,507,,324.1,41.6,67,63.9,54,60,17.2,16.5,2.5,0.7,0.2,0,0.1,0.2,0.1,0.1
192004,4485,583.4,-21.1,-23.3,-24.5,84.6,104,375,453,,272.5,33.3,55.1,52.5,43.8,48.7,17.2,16.1,3.3,1,0.3,0.2,0.2,0.3,0.2,0.4
192204,4820,558,-22.2,-20.9,-23,100,122.7,176,172,,28.6,4.5,6.8,4.3,3,2.4,1,0.9,0.3,0.2,0.3,0.3,0.1,0.6,1.6,2.4
192404,5223,528.8,-23.5,-24.1,-26.1,97.1,122.5,138,187,,50.8,8.1,14.4,10.5,6.7,6.8,1.6,1.3,0.4,0.1,0.2,0.1,0.1,0.1,0.1,0.2
