Time,Pressure,RFTS,Altitude,DewPt,RH,FS96CNC,  PCTcon,CN3025,CN7610,CN3025_corrected,Latitude,Longitude
004147,1001.8,-7.8,36,-9,95.4,,7606.1,,,0,71.28564,156.76408
004148,1001.2,-7.8,41,-9.3,93.6,,7436.1,,,0,71.28564,156.76237
004149,1000.7,-8.1,45,-9.4,93.3,,7334.3,,,0,71.28564,156.76013
004150,1000,-8.1,51,-8.9,97.3,,7401.4,,,0,71.28564,156.75842
004151,999.5,-8.1,55,-9.3,94.6,,7509.1,,,0,71.28564,156.75636
004152,998.8,-8,61,-9.6,92.3,,7330.2,,,0,71.28564,156.75464
004153,998.1,-8.1,67,-9.1,96.4,,7208.4,,,0,71.28564,156.75293
004154,997.6,-8.3,71,-9.2,95.8,,7280.3,,,0,71.28564,156.7507
004155,996.8,-8.4,78,-9.9,91.4,,7259.2,,,0,71.28564,156.74933
004156,995.9,-8.3,85,-9.6,94.5,,7372.9,,,0,71.28564,156.74709
004157,995.2,-8.4,91,-9.2,97.3,,7415.9,,,0,71.28564,156.74538
004158,994.4,-8.5,98,-9.7,93.7,,7304.8,,,0,71.28564,156.74315
004159,993.7,-8.6,104,-9.7,94.7,,7479.8,,,0,71.28564,156.74091
004200,992.8,-8.7,111,-9.3,97.8,,7496.7,,,0,71.28564,156.7392
004201,991.6,-8.7,122,-9.8,94.7,,7415.5,,,0,71.28564,156.73697
004202,990.8,-8.8,128,-9.8,95.7,,7618.5,,,0,71.28564,156.73508
004203,990.3,-8.9,133,-9.3,100,,7576.5,,,0,71.28564,156.73285
004204,989.5,-8.9,140,-9.7,96.8,,7417.5,,,0,71.28564,156.73096
004205,988.7,-8.9,146,-10,95.3,,7397.6,,,0,71.28564,156.72855
004206,988.2,-9,151,-9.4,100,,7567.4,,,0,71.28564,156.72701
004207,987.5,-9,156,-9.5,99.9,,7571.9,,,0,71.28564,156.72461
004208,986.9,-9.1,162,-10,96.6,,7547.7,,,0,71.28564,156.7222
