Time,Pressure,RFTS,Altitude,DewPt,RH,FS96CNC,  PCTcon,CN3025,CN7610,CN3025_corrected,Latitude,Longitude
190803,990.1,-5.1,264,-13.9,,,143.2,,,0,68.30372,133.48749
190804,989.2,-5,271,-13.8,45.2,,90.4,,,0,68.30372,133.48938
190805,988.7,-4.9,275,-13.7,46,,92.9,,,0,68.30354,133.49092
190806,988.4,-5.1,278,-13.7,45.9,,63.3,,,0,68.30354,133.49246
190807,987.8,-5.3,283,-13.5,46.8,,49.2,,,0,68.30354,133.49384
190808,987,-5.3,290,-13.5,45.9,,50.6,,,0,68.30354,133.49573
190809,986.5,-5.4,294,-13.5,46.7,,63.4,,,0,68.30354,133.49693
190810,985.8,-5.5,300,-13.7,46.1,,42.3,,,0,68.30338,133.49883
190811,985.1,-5.6,306,-13.8,45.1,,66.4,,,0,68.30338,133.50002
190812,984.4,-5.6,312,-14,45,,65.2,,,0,68.30338,133.50226
190813,983.7,-5.7,318,-14.1,45.7,,49.8,,,0,68.3032,133.50414
190814,982.8,-5.6,326,-14.2,44.8,,55.6,,,0,68.3032,133.50569
190815,982.2,-5.7,331,-14.3,46.2,,67.2,,,0,68.3032,133.5074
190816,981.5,-5.9,337,-14.3,48.2,,66.1,,,0,68.3032,133.50929
190817,980.7,-6,344,-14.3,47.9,,82.2,,,0,68.30303,133.51135
190818,979.9,-6,351,-14.3,46.9,,63.6,,,0,68.30303,133.51289
190819,978.8,-6.1,360,-14.4,46.5,,76.7,,,0,68.30303,133.51495
190820,978.4,-6.2,363,-14.5,46.6,,87,,,0,68.30303,133.51668
190821,977.7,-6.2,369,-14.5,46.6,,78.6,,,0,68.30286,133.51874
190822,977,-6.2,375,-14.5,47.1,,84.4,,,0,68.30286,133.52045
190823,976.7,-6.3,378,-14.5,48.4,,68.5,,,0,68.30286,133.52217
190824,976.3,-6.3,381,-14.6,48.3,,57,,,0,68.30269,133.52388
190825,975.7,-6.3,387,-14.6,47.6,,61.4,,,0,68.30269,133.52611
190826,974.4,-6.4,398,-14.6,47.3,,64.4,,,0,68.30269,133.52748
190827,974,-6.5,401,-14.8,46.8,,61.6,,,0,68.30251,133.53023
190828,973.4,-6.5,406,-14.8,47.2,,64.6,,,0,68.30251,133.53195
190829,972.7,-6.5,412,-14.8,48,,55.8,,,0,68.30251,133.53384
190830,972,-6.6,418,-14.8,49,,60.4,,,0,68.30235,133.53659
190831,971.2,-6.7,425,-14.7,48.6,,38.4,,,0,68.30235,133.53847
190832,970,-6.7,435,-14.6,47.3,,71,,,0,68.30217,133.54036
190833,969.1,-6.8,443,-14.6,47.2,,48.9,,,0,68.30217,133.5419
190834,968.3,-6.9,450,-14.5,47.7,,41.7,,,0,68.30217,133.54414
190835,967.4,-7,457,-14.4,47.7,,49.3,,,0,68.302,133.54602
190836,966.5,-7.1,465,-14.4,47.9,,95.9,,,0,68.302,133.54877
190837,965.5,-7.1,474,-14.4,49,,54.1,,,0,68.302,133.55066
190838,964.4,-7.2,484,-14.3,50,,69.3,,,0,68.30183,133.5522
190839,963.3,-7.2,493,-14.3,50.5,,46.7,,,0,68.30183,133.55478
190840,962.4,-7.3,501,-14.3,51.1,,92,,,0,68.30166,133.55684
190841,961.6,-7.4,508,-14.2,51.7,,78.6,,,0,68.30166,133.5589
190842,960.5,-7.5,517,-14.2,51.2,,66.6,,,0,68.30166,133.56079
190843,959.8,-7.6,524,-14.2,50.5,,72.8,,,0,68.30148,133.56302
190844,958.7,-7.6,534,-14.2,50.8,,65.4,,,0,68.30148,133.56543
190845,957.5,-7.7,543,-14.2,49.1,,73,,,0,68.30132,133.56749
190846,956.4,-7.7,553,-14.2,49,,59.4,,,0,68.30132,133.56955
190847,955.4,-7.9,562,-14.4,49.5,,51.9,,,0,68.30132,133.57195
190848,954.1,-7.9,573,-14.7,50.4,,76.5,,,0,68.30114,133.57384
190849,952.8,-8.1,584,-15,50.6,,78.2,,,0,68.30114,133.57623
190850,951.2,-8.2,598,-15.2,51.3,,47.6,,,0,68.30097,133.57829
190851,949.9,-8.3,610,-15.4,53.3,,82.9,,,0,68.30097,133.5807
190852,948.8,-8.4,620,-15.6,53.2,,67.7,,,0,68.30097,133.5826
190853,947.6,-8.4,630,-15.8,53.1,,83.3,,,0,68.3008,133.58447
190854,946.2,-8.5,642,-16,51.4,,58.7,,,0,68.3008,133.58688
190855,945,-8.5,653,-16.1,50.2,,33.9,,,0,68.3008,133.58894
190856,944.1,-8.5,660,-16.3,50.3,,33.9,,,0,68.3008,133.59084
190857,943.1,-8.5,669,-16.3,50.4,,55.7,,,0,68.30097,133.59323
