Time,Pressure,RFTS,Altitude,DewPt,RH,FS96CNC,  PCTcon,CN3025,CN7610,CN3025_corrected,Latitude,Longitude
192015,996.5,-0.5,89,-8.6,56.8,0,198.5,284,341,303.3507252,68.30372,133.47977
192016,995.8,-0.7,95,-7.9,60,0,174.9,281,324,300.2156994,68.30372,133.47804
192017,994.9,-0.6,102,-7.8,60.3,0,149.4,256,329,273.5863542,68.30372,133.47633
192018,994.2,-0.6,108,-8.1,59.2,0,150.3,281,327,300.371395,68.30389,133.47461
192019,993.7,-0.7,113,-8.4,57.6,0,169.2,307,328,328.2160273,68.30389,133.47342
192020,992.8,-0.7,120,-8.7,56.3,0,126.8,315,329,336.8643155,68.30389,133.47136
192021,991.9,-0.7,128,-9,55.3,0,114.4,307,332,328.4006731,68.30406,133.46999
192022,991,-0.9,135,-9.1,54.9,0,144.5,290,331,310.3009094,68.30406,133.46809
192023,989.9,-0.9,145,-8.8,56.4,0,120.1,262,329,280.433445,68.30406,133.46689
192024,988.9,-1,153,-8.7,56.9,0,87.5,251,324,268.7387796,68.30423,133.46518
192025,987.9,-0.9,161,-9,56.1,0,190.7,265,322,283.8104665,68.30423,133.46329
192026,986.8,-1,171,-9,56,0,137.8,290,321,310.6823156,68.30423,133.46175
192027,985.7,-1.1,181,-8.8,57.3,0,92.6,283,319,303.2762317,68.30441,133.46019
192028,984.8,-1.1,189,-9,56.5,0,91.3,269,323,288.3443558,68.30441,133.45831
192029,983.6,-1.1,199,-9.1,56.3,0,105.4,264,316,283.0762469,68.30441,133.45676
192030,982.7,-1.3,206,-8.8,57.9,0,96,277,322,297.086246,68.30457,133.45488
192031,981.6,-1.4,216,-9,57.4,0,167.7,301,311,322.9187228,68.30457,133.45299
192032,980.6,-1.5,224,-9.1,57.5,0,105.2,294,319,315.4892741,68.30457,133.45178
192033,979.8,-1.5,231,-8.9,58.3,0,90,293,323,314.4791525,68.30475,133.44989
192034,979,-1.5,238,-9,58.4,0,131.1,298,328,319.9088023,68.30475,133.44801
192035,978.2,-1.5,244,-9.1,58.2,0,190.9,305,325,327.4870832,68.30492,133.44629
192036,977.6,-1.6,250,-8.9,59.2,0,194.4,314,318,337.1991413,68.30492,133.4444
192037,977.3,-1.7,253,-9,59,0,186.5,288,326,309.3002507,68.30492,133.44269
192038,977,-1.7,255,-9.1,58.7,0,148.2,287,328,308.2481487,68.30509,133.44063
192039,976.2,-1.7,262,-9,59.4,0,122.5,308,333,330.8647959,68.30509,133.4389
192040,975.7,-1.7,266,-9.1,59,0,143.9,333,338,357.7620222,68.30526,133.43719
192041,975.5,-1.7,268,-9,59.4,0,157.1,340,331,365.2993073,68.30544,133.43497
192042,975.1,-1.5,271,-9,58.7,0,195.9,307,327,329.8738833,68.30544,133.43324
192043,974.4,-1.6,277,-8.8,59.6,0,123,303,325,325.6272892,68.30544,133.43135
192044,973.9,-1.8,282,-8.8,60.5,0,128.9,275,309,295.5692796,68.3056,133.42879
192045,973.2,-1.8,288,-9.1,58.9,0,114.7,238,320,255.84125,68.30578,133.42706
192046,972.5,-1.5,294,-9.1,58.5,0,146.5,260,318,279.5329769,68.30578,133.42517
192047,971.3,-1.4,304,-8.5,60.6,0,109.2,288,317,309.7158,68.30595,133.42329
192048,970.2,-1.4,314,-8.7,59.7,0,125.3,275,312,295.8033857,68.30595,133.42088
192049,969.4,-1.4,320,-9,57.8,0,157.5,267,307,287.2451716,68.30612,133.41866
192050,968.2,-1.5,331,-9,57.8,0,160.8,274,305,294.8467978,68.30629,133.41676
192051,967,-1.6,342,-8.7,59.5,0,137.9,267,305,287.3815742,68.30647,133.41454
192052,965.6,-1.7,353,-8.9,58.7,0,114.8,275,307,296.0710329,68.30663,133.41264
192053,964.3,-1.7,364,-9.2,58,0,135.3,277,309,298.2958819,68.30663,133.4111
192054,963.2,-1.8,374,-8.9,59.7,0,132.7,264,304,284.352714,68.30698,133.40869
192055,962,-1.9,385,-8.9,60,0,118.4,255,310,274.7167092,68.30732,133.40681
192056,960.9,-1.9,394,-9.2,59,0,121.6,254,305,273.690879,68.30766,133.40475
192057,959.9,-2,402,-9,60.3,0,142.6,298,306,321.1555454,68.30801,133.40303
192058,959.1,-2.1,410,-8.9,61.2,0,140,307,298,330.8982009,68.30835,133.40097
192059,958.3,-2.1,417,-9.1,60.1,0,115.3,284,308,306.14714,68.30869,133.39943
192100,957.3,-2.2,426,-9.2,60.3,0,145.1,286,309,308.3516362,68.30938,133.39754
192101,956.5,-2.3,433,-8.9,62,0,115.7,277,312,298.6850877,68.3099,133.396
192102,955.7,-2.3,440,-9.1,61.1,0,145.7,274,309,295.48598,68.31059,133.39427
192103,954.8,-2.4,447,-9.3,60.8,0,150.3,285,316,307.3895541,68.3111,133.39325
192104,954.1,-2.5,454,-8.9,62.8,0,113.3,311,307,335.4662467,68.31196,133.39153
192105,953.3,-2.6,461,-9.1,62.1,0,109,336,309,362.4743797,68.31247,133.39067
192106,952.3,-2.5,469,-9.3,61,0,101.6,306,304,330.156694,68.31316,133.38947
192107,951.4,-2.6,477,-9,62.9,0,100.2,288,306,310.7738548,68.31419,133.38828
192108,950.4,-2.7,486,-9.2,62.3,0,145.4,287,305,309.7360222,68.31505,133.38759
192109,949.5,-2.7,494,-9.2,62.5,0,121.7,281,297,303.2961848,68.31573,133.38655
192110,948.6,-2.8,502,-9.1,63.6,0,112.9,295,305,318.4434265,68.31625,133.38622
192111,947.3,-2.8,513,-9.3,62.5,0,123.5,293,303,316.335241,68.31711,133.38553
192112,946,-2.9,524,-9.5,61.9,0,111.6,287,309,309.9054259,68.31831,133.38518
