Time,Altitude,Pressure,RFTS,DewPt,LICDew,RH,ReHuI,CN3025,CN7610,CN3025_corrected,PCTcon,PCcn01,PCcn02,PCcn03,PCcn04,PCcn05,PCcn06,PCcn07,PCcn08,PCcn09,PCcn10,PCcn11,PCcn12,PCcn13,PCcn14,PCcn15
203428,139,1004.8,0.7,-6.2,-4.5,57.1,64.2,199,208,,4825.2,883,581.9,1069.9,978.3,924.6,205.9,164.2,10.9,5.1,0.8,0.2,0.1,0.1,0.1,0.1
203628,9,1019.9,-3.8,-8.2,-2.9,65.3,67,0,0,,11370.7,3642.9,2817.8,2289.9,1365.7,924.1,175.3,134,11.1,7.9,1.2,0.3,0.1,0.1,0.1,0
203828,9,1019.8,-5.1,-8,-2.7,76.6,80.1,0,0,,1108.1,912.5,28.9,31.9,29.2,43.1,17.2,29.9,6.6,7.5,1,0.2,0,0.1,0,0
204028,44,1015.7,-5.3,-7.6,-3.3,85.5,90.3,0,0,,1228.9,1033.3,30.6,30.4,28.5,42,18.1,29.8,7.2,7.6,1,0.2,0,0.1,0.1,0
204228,507,961.3,-4.1,-4.3,-2.8,98.5,102.5,90,0,,184.8,134.1,7.9,9.5,7.7,10.9,4,6,1.1,1,0.5,0.4,0.1,0.4,0.8,0.6
204428,1160,888.4,-7.3,-7.5,-6.7,99.2,106.7,150,40,,48.9,4.9,7.4,8.1,7.6,10.9,3.8,5.4,0.1,0.1,0.1,0.1,0,0.1,0.2,0.1
204628,1844,816.9,-11,-12.4,-11.5,92.4,103.3,181,203,,159.7,18.7,28.5,32.1,27.6,31.4,8.3,12.3,0.5,0.2,0.1,0,0,0,0,0
204828,2482,754.4,-14.5,-15,-14.8,97.6,112.7,256,293,,232,28,44.4,49.3,41.1,43.5,12.1,11.9,0.9,0.3,0.1,0.1,0.1,0,0,0.1
205028,3058,701.4,-17.5,-17.5,-17.8,99.7,118.2,450,537,,458.2,55.8,95.7,97.1,79.1,82.5,23.1,21.1,2.2,0.7,0.2,0.2,0.1,0,0.1,0
205228,3619,652.8,-20.2,-20.4,-21.1,98.5,120.1,449,557,,439,58.9,101.9,97,71.4,72.5,19,15.2,1.7,0.5,0.3,0.1,0.1,0.1,0.2,0.1
