Time,Pressure,RFTS,Altitude,DewPt,RH,FS96CNC,  PCTcon,CN3025,CN7610,CN3025_corrected,Latitude,Longitude
213717,1016,-8.2,247,-10.1,90,0,2083.5,0,0,0,71.28564,156.77095
213718,1015.5,-8.1,247,-10.2,89.2,0,2155.1,0,0,0,71.28564,156.76958
213719,1015,-8.2,247,-9.4,94.9,0,2105,0,0,0,71.28564,156.76768
213720,1014.4,-8.3,247,-9.3,96.2,0,2146.2,0,0,0,71.28564,156.76614
213721,1013.7,-8.4,247,-10.2,90.3,,2083.4,0,0,0,71.28564,156.76477
213722,1013.2,-8.4,247,-10.5,88.2,,2001.8,0,0,0,71.28564,156.76306
213723,1012.6,-8.4,4,-9.8,93.2,,2003.3,0,0,0,71.28564,156.76117
213724,1012.2,-8.4,8,-9.8,92.8,,1935.1,0,0,0,71.28564,156.75928
213725,1011.4,-8.5,15,-10.4,88.9,,2022.9,0,0,0,71.28564,156.75757
213726,1010.9,-8.5,19,-10,92.1,,1970.6,0,0,0,71.28564,156.75601
213727,1010.2,-8.6,25,-9.7,95,,1988.4,0,0,0,71.28564,156.7543
213728,1009.2,-8.6,33,-10.4,90,,1944.4,0,0,0,71.28564,156.75208
213729,1008.3,-8.7,41,-10.3,91.2,,2106.9,0,0,0,71.28564,156.75035
213730,1007.3,-8.7,49,-9.8,95.4,,2103.4,0,0,0,71.28564,156.74864
213731,1006.1,-8.8,59,-10.3,91.6,,2016.7,0,0,0,71.28564,156.74692
213732,1005,-8.9,68,-10.4,91.7,,2037.2,0,0,0,71.28564,156.74486
213733,1004,-8.9,77,-9.8,96.1,,2140.5,0,0,0,71.28564,156.74297
213734,1002.9,-9,86,-10.1,94.5,,2139.3,0,0,0,71.28564,156.74091
213735,1001.8,-9.1,95,-10.5,93,,2128.2,0,0,0,71.28564,156.73903
213736,1000.8,-9.2,104,-10,97.6,,2148.8,0,0,0,71.28564,156.7373
213737,999.8,-9.3,112,-10.1,96.4,,2183.8,0,0,0,71.28564,156.73524
213738,999.1,-9.4,118,-10.6,94.1,,2258.3,0,0,0,71.28564,156.7337
213739,998.5,-9.3,123,-10,98.6,,2122,0,0,0,71.28564,156.73129
213740,997.9,-9.4,127,-10,98.6,,2054.4,0,0,0,71.28564,156.72942
213741,997.5,-9.4,132,-10,98.7,,2251.8,0,0,0,71.28564,156.72752
213742,997.1,-9.5,135,-9.9,100,,2388.4,0,0,0,71.28564,156.72546
213743,996.7,-9.5,138,-10.3,97.3,,2326.2,0,0,0,71.28548,156.72357
213744,996.3,-9.5,141,-10.2,98.2,,2439.8,0,0,0,71.28548,156.72099
213745,995.8,-9.5,145,-9.6,100,,2395.4,0,0,0,71.28548,156.71893
213746,995.4,-9.6,149,-10,99.7,,2349,0,0,0,71.28548,156.71687
213747,994.8,-9.5,154,-10.2,97.7,,2385.2,0,0,0,71.28548,156.71448
213748,994.4,-9.5,158,-9.5,100,,2412.7,0,0,0,71.28548,156.71242
213749,993.9,-9.6,162,-9.6,100,207.11,1680.1,0,0,0,71.2853,156.70984
213750,993.3,-9.6,167,-10.2,98,62.03,624.2,0,0,0,71.2853,156.70778
213751,992.8,-9.6,171,-9.7,100,77.86,141.7,0,0,0,71.2853,156.70538
213752,991.9,-9.6,178,-9.6,100,76.36,55.4,0,0,0,71.2853,156.70314
213753,991.5,-9.6,182,-10.1,99,77.4,35.6,0,0,0,71.2853,156.70058
213754,990.9,-9.6,187,-9.7,100,71.84,30.1,0,0,0,71.2853,156.69885
213755,990.1,-9.5,193,-9.4,100,64.36,37.4,0,0,0,71.2853,156.69577
213756,989.5,-9.5,199,-9.9,99.9,61.02,33.3,0,0,0,71.2853,156.69405
213757,988.8,-9.5,205,-9.5,100,70.42,36.3,0,0,0,71.2853,156.69182
213758,988.1,-9.6,210,-9.4,100,74.64,46.8,0,0,0,71.2853,156.68907
213759,987.3,-9.6,217,-10,99.8,75.27,17.6,0,0,0,71.2853,156.68633
213800,986.5,-9.7,224,-9.7,100,76.2,20.6,0,0,0,71.2853,156.68427
213801,985.6,-9.6,232,-9.5,100,72.93,19.2,0,0,0,71.2853,156.68272
213802,984.9,-9.6,238,-10.1,99.1,79.8,40,0,0,0,71.2853,156.67894
213803,984,-9.6,246,-9.9,100,70.19,10.4,0,0,0,71.2853,156.67671
213804,982.8,-9.6,256,-9.4,100,63.61,32.7,0,0,0,71.2853,156.6743
213805,982,-9.7,263,-10,100,59.94,26.9,0,0,0,71.2853,156.67155
213806,981,-9.7,271,-10,100,52.15,34.4,0,0,0,71.2853,156.66933
213807,979.8,-9.8,282,-9.5,100,54.67,49.5,0,0,0,71.2853,156.66641
213808,978.7,-9.8,291,-10.1,100,54.28,51.1,0,0,0,71.28548,156.66418
213809,977.5,-9.9,301,-10.2,99.8,50.49,43.7,0,0,0,71.28548,156.66194
213810,976.2,-9.9,312,-9.7,100,51.79,57.3,0,0,0,71.28548,156.65988
213811,975,-10,323,-10.2,100,51.66,356.6,0,0,0,71.28548,156.65663
213812,973.7,-10.1,334,-10.4,99.7,50.04,690.4,0,0,0,71.28564,156.65388
213813,972.6,-10.1,343,-9.9,100,42.61,405.9,0,0,0,71.28564,156.65164
213814,971.3,-10.2,355,-10.4,100,10.41,267.2,0,0,0,71.28582,156.6489
213815,970,-10.2,366,-10.7,98.7,1.85,53.2,0,0,0,71.28582,156.64667
213816,969,-10.1,374,-10.2,100,6.66,33.5,0,0,0,71.28599,156.64529
213817,968,-10.1,383,-10.5,100,0.23,48.8,0,0,0,71.28616,156.64153
213818,967.1,-10.1,391,-10.6,98.7,0.22,9.1,0,0,0,71.28633,156.63963
213819,966,-10,400,-10.1,100,0.45,3,0,0,0,71.28667,156.63689
213820,965.2,-9.9,408,-10.4,99.1,3.14,10.7,0,0,0,71.28685,156.63499
213821,964.4,-9.6,414,-10.3,97.9,0.45,18.3,0,0,0,71.28719,156.63242
213822,963.5,-9.5,422,-9.6,100,0.11,12.2,0,0,0,71.28754,156.62985
213823,962.8,-9.5,428,-9.4,100,0.22,6.1,0,0,0,71.28788,156.62779
213824,962,-9.5,435,-10,98.6,0.22,13.7,0,0,0,71.28822,156.62521
213825,961.3,-9.4,441,-9.5,100,0.22,10.7,0,0,0,71.28857,156.62349
213826,960.5,-9.4,448,-9.2,100,0.11,19.9,0,0,0,71.28925,156.62074
213827,959.7,-9.4,455,-9.9,98.7,0.22,12.2,0,0,0,71.28942,156.6192
213828,958.9,-9.4,462,-9.8,99.1,0,23,0,0,0,71.29028,156.61662
213829,958,-9.4,470,-9.3,100,0.04,24.5,0,0,0,71.29063,156.61508
213830,957.1,-9.3,478,-9.9,97.5,0,24.5,0,0,0,71.29131,156.61269
213831,956,-9.2,487,-9.8,97.9,0.23,12.2,0,0,0,71.29166,156.61165
213832,954.9,-9.2,497,-9.2,100,0,26,0,0,0,71.29251,156.60925
213833,953.8,-9,506,-9.5,99.2,0.07,32.1,0,0,0,71.2932,156.60736
213834,952.7,-8.9,516,-9.7,96.3,0.04,21.4,0,0,0,71.29372,156.60616
213835,951.5,-8.8,527,-9.2,99.5,0.23,38.3,0,1,0,71.29457,156.60445
213836,950.4,-8.5,536,-9.7,94,0.11,32.2,0,3,0,71.29526,156.60289
213837,949.1,-8.8,547,-10.3,90.1,0.08,19.9,0,13,0,71.29594,156.60152
213838,948.2,-8.7,555,-9.8,93.6,0.24,30.7,0,188,0,71.29663,156.60033
213839,946.9,-8.6,567,-9.7,94,0.04,29.2,0,181,0,71.29732,156.59929
213840,945.8,-8.6,577,-10.5,87.7,0,38.5,1,137,1.079835086,71.29818,156.59792
213841,944.7,-8.6,586,-10.4,88.4,0.08,64.6,1,118,1.079971497,71.29887,156.59706
213842,943.7,-8.7,595,-10.1,90.7,0,41.6,2,102,2.160184004,71.29955,156.59621
213843,942.5,-8.7,606,-10.8,86.4,0.24,49.3,2,97,2.160464536,71.30041,156.59517
213844,941.5,-8.8,614,-10.6,87.8,0.12,44.6,2,105,2.160691183,71.30109,156.59448
213845,940.5,-8.8,623,-10.3,90.9,0.04,35.6,3,103,3.241367166,71.30212,156.59363
213846,939.4,-8.8,633,-10.9,86.5,0.24,47.9,3,98,3.241719692,71.30281,156.59311
213847,938.3,-8.9,643,-10.8,87.7,0.24,34,3,105,3.242060966,71.30384,156.59242
213848,937.2,-8.9,653,-10.4,91,0.15,66.5,4,104,4.323188222,71.30453,156.59209
213849,935.8,-9,665,-11.1,86.6,0.24,49.6,4,102,4.323727581,71.30521,156.59174
213850,934.6,-9,675,-11.1,86.6,0.12,38.8,5,109,5.405214413,71.30624,156.5914
213851,933.8,-9.1,683,-10.7,90.3,0.08,49.7,5,106,5.405572803,71.30711,156.59122
213852,932.6,-9.2,694,-11.3,86.2,0.24,46.6,6,104,6.487311987,71.30779,156.59122
213853,931.5,-9.3,704,-11.3,86.6,0.24,40.4,7,107,7.569173873,71.30865,156.59122
213854,930.2,-9.3,715,-10.8,90.7,0.16,46.7,7,103,7.569904071,71.30951,156.5914
213855,929.1,-9.4,725,-11.4,87.3,0.25,63.8,8,105,8.651996628,71.31036,156.59157
213856,927.8,-9.5,736,-11.6,86.2,0.24,59.1,8,105,8.652764613,71.31088,156.5919
213857,926.7,-9.5,746,-11,91.1,0.25,40.5,9,109,9.735060531,71.31191,156.59225
213858,925.6,-9.6,756,-11.5,88.2,0,59.2,9,105,9.735733277,71.3126,156.59277
213859,924.4,-9.6,767,-11.8,86.3,0.25,48.4,38,107,41.10939787,71.31345,156.59328
213900,923.4,-9.7,776,-11.1,91.4,0.2,51.6,94,105,101.6975359,71.31432,156.59396
213901,922.5,-9.8,784,-11.4,90.4,0.25,56.4,96,106,103.8665103,71.315,156.59465
213902,921.5,-9.8,793,-11.8,87.4,0.5,37.6,97,109,104.9540717,71.31569,156.59534
213903,920.6,-9.9,801,-11.3,91.7,0.16,53.4,99,103,107.1230391,71.31654,156.59654
213904,919.9,-10,807,-11.4,91.8,0.25,51.9,102,108,110.3730418,71.31723,156.5974
213905,919.1,-10,814,-11.9,88.5,0.25,52,100,112,108.2130445,71.31792,156.59843
213906,918.5,-10.1,820,-11.4,92.4,0,64.6,95,107,102.8052828,71.31878,156.59964
213907,917.8,-10.1,826,-11.5,92.4,0.12,53.6,97,112,104.9729522,71.31929,156.60066
213908,917.3,-10.2,831,-12.2,87.7,0.25,82.2,106,112,114.7152556,71.32015,156.60204
213909,916.8,-10.2,835,-11.9,90.4,0.5,46,114,113,123.3756875,71.32066,156.60324
213910,916.3,-10.3,839,-11.3,95,0,49.2,115,116,124.4605704,71.32135,156.60445
213911,915.9,-10.3,843,-11.9,91,0.25,74.7,113,118,122.2980719,71.32204,156.60599
213912,915.6,-10.4,846,-12.1,89.8,0.24,60.5,111,114,120.1349781,71.32256,156.60719
213913,915,-10.4,851,-11.5,94.5,0.24,76.3,106,114,114.7262495,71.32341,156.60873
213914,914.6,-10.5,855,-11.7,92.9,0.24,52.9,104,111,112.5633645,71.32393,156.60994
213915,914.3,-10.5,858,-12,90.9,0,83.3,108,112,116.8940738,71.32478,156.61182
213916,913.9,-10.5,861,-11.5,95.2,0.24,65.8,110,118,119.0605805,71.3253,156.61302
213917,913.5,-10.5,865,-11.7,93.9,0.08,38.6,115,118,124.4742725,71.32616,156.61475
213918,913,-10.6,869,-12.1,90.6,0.24,62.7,125,119,135.3005777,71.32684,156.61612
213919,912.6,-10.6,874,-11.5,95.3,0.24,58,135,115,146.1266986,71.32736,156.61749
213920,912.2,-10.6,877,-11.7,94.5,0.24,62.9,136,121,147.2111671,71.32822,156.6192
213921,911.7,-10.7,882,-12.1,91.5,0.47,66.2,131,125,141.8014028,71.3289,156.62041
213922,911,-10.7,888,-11.6,95.2,0.15,63,140,122,151.5469815,71.32959,156.62178
213923,910.5,-10.7,893,-11.7,95,0.23,48.5,143,126,154.7968899,71.33028,156.62332
213924,909.9,-10.8,897,-12.3,90.7,0.23,63,126,118,136.3970019,71.33096,156.62486
213925,909.3,-10.8,903,-11.8,94.5,0.08,61.9,125,116,135.3169251,71.33148,156.6259
213926,908.6,-10.9,910,-11.7,96.1,0.47,60.1,129,117,139.6499001,71.33251,156.62779
