Time,Altitude,Pressure,RFTS,DewPt,LICDew,RH,ReHuI,CN3025,CN7610,CN3025_corrected,PCTcon,PCcn01,PCcn02,PCcn03,PCcn04,PCcn05,PCcn06,PCcn07,PCcn08,PCcn09,PCcn10,PCcn11,PCcn12,PCcn13,PCcn14,PCcn15
162331,39,1005.5,1.2,-4,-3.6,66.5,78.8,462,382,,171.9,48.2,41,29.9,19.1,18.5,6,6.3,1.4,1,0.2,0.1,0.1,0.1,0,0
162531,16,1011.3,-3.6,-5,-2,91.8,95.4,0,0,,232.1,91.9,61.5,36,17.9,15.3,3.7,4.1,0.7,0.8,0.1,0,0,0,0,0
162731,65,1005.4,-4.1,-5,-2.5,94.9,99.1,0,0,,166.2,87.7,25.4,18.8,10.3,10.7,3.3,4.5,0.9,1,0.5,0.5,0.3,0.4,0.9,0.8
162931,764,925,-0.9,-9.3,-9.2,56.8,64.8,0,0,,176.6,19.8,30.9,31.9,24.4,27,7.5,10.1,1.4,2.3,2.6,3,1.5,3.7,6.3,4.2
163131,1436,852.3,-2.2,-13.8,-15.1,41.5,42.5,0,0,,98.6,14.2,24.2,22.1,15.3,14.4,3.5,4.2,0.4,0.1,0.1,0.1,0,0,0,0
163331,2043,790.8,-6.1,-17.5,-19.4,41.4,44.1,545,691,,47,7.1,12.5,11.1,6.5,6.3,1.5,1.7,0.1,0.1,0,0,0.1,0,0,0
163531,2641,733.8,-10.6,-19.5,-21.7,49.6,55.2,1301,1279,,32.2,5.2,9,7.7,4.5,4,0.8,0.8,0.1,0,0,0,0,0,0,0
163731,3231,680.9,-15.1,-20.8,-23.2,64.8,75.5,1412,1393,,58,7.4,18.2,15,7.8,6.1,1.7,1.4,0.2,0.1,0.1,0,0,0,0,0
163931,3796,633.1,-19.3,-23.3,-25.4,73.8,89.6,1625,1600,,48.5,7.6,12.6,10.3,7.2,6,2.1,1.1,0.2,0.3,0.2,0.2,0.1,0.2,0.2,0.2
164131,4360,588.2,-23.9,-24.2,-26.7,98.3,124.4,1389,1388,,55,9.2,13.3,12.3,7.9,6.4,2.7,1.6,0.2,0.3,0.1,0.2,0.1,0.3,0.1,0.2
164331,4918,546.3,-28,-27.9,-30.7,100,131.3,1241,1292,,69,9.1,14.9,14.9,11.2,10.5,3.6,2.5,0.5,0.3,0.2,0.3,0.1,0.3,0.3,0.3
164531,5437,509.5,-31,-31.3,-34.2,100,135.7,1001,1161,,84.2,12,19.1,17.1,13.2,12.5,4.3,3.5,0.6,0.5,0.2,0.4,0.1,0.1,0.2,0.2
164731,5897,478.6,-34.2,-33.6,-36.8,100,138.7,920,1162,,111.5,15.2,27.2,21.5,16.5,18.7,5.5,4.1,1.2,0.4,0.2,0.5,0.1,0.1,0.1,0.1
164931,6120,464.2,-35.4,-35.4,-38.9,100,141.2,876,1090,,175.7,26.9,38.4,35.4,26.3,24.9,11.4,6.7,1.6,1.2,0.5,0.5,0.2,0.5,0.8,0.4
165131,6123,464,-35.5,-36.4,-39,96.4,136.8,905,1133,,169.7,26.9,40.2,30.7,27.3,22.3,9.8,6.1,1.2,1.2,0.6,0.7,0.2,0.7,1.1,0.7
165331,6130,463.5,-36,-34.3,-38.8,100,139.6,972,1221,,146.5,21.4,31.5,28.2,22.2,22.7,9.4,6,1.5,1,0.4,0.9,0.2,0.2,0.3,0.5
165531,6134,463.3,-36.2,-36.1,-38.8,99.7,141.7,1000,1274,,143.2,22.4,30.6,27.3,21.4,20.2,10,4.3,1.6,1.1,0.5,0.6,0.4,0.9,0.7,1.2
165731,6137,463.1,-36.2,-36.1,-39.1,100,142.1,990,1264,,124.6,21.6,28.6,25.1,17.3,15.4,7.8,4.4,0.8,1,0.5,0.3,0.1,0.7,0.5,0.5
165931,6281,454,-37.4,-36.9,-40.2,100,143.1,866,1159,,119.8,18.1,26.5,22.8,19.5,16.4,7.5,4.6,1,1.2,0.4,0.6,0.4,0.3,0.5,0.1
170131,6628,432.7,-38.9,-38.3,-42.5,100,145,398,541,,285.1,48.3,64.4,59.5,44,39.7,14.6,8.7,2.1,0.8,0.4,0.4,0.2,0.6,0.7,0.6
170331,6929,414.8,-41.2,-41.2,-44.8,100,149.1,322,490,,390.8,71.8,92.1,73.9,53.9,56.5,19.9,13.6,2.1,2,1,1.1,0.4,0.7,0.8,1.1
170531,6952,413.5,-41.6,-43.4,-45.2,88.3,132.9,252,399,,649,133.2,152.1,119.5,90.2,94.4,30.1,15.3,3.8,3.4,1.7,1.4,0.6,0.7,1.3,1.1
170731,6525,439,-38.9,-40.1,-42.3,93.1,136.4,484,712,,407.1,79.8,98.8,78.8,54.8,57.2,17.9,12.3,2.1,1.5,1,0.3,0.5,0.5,0.7,0.8
170931,6034,469.8,-36,-36.9,-39.6,96.7,138.1,806,1084,,206.8,49.5,45.1,38.7,27.2,27,9.6,6.7,0.8,0.5,0.4,0.4,0,0.1,0.5,0.3
171131,5570,500.4,-33,-32.8,-35.7,99.9,137.5,848,1230,,118.3,29.2,23.8,22.8,16.2,14.6,5.5,4.3,0.6,0.4,0.1,0.2,0.2,0.1,0.2,0.3
171331,5626,496.6,-33.4,-32.5,-35.8,100,137.3,837,1254,,97.6,24,22.8,19.5,10.6,13,3.3,3.3,1.2,0,0,0,0,0,0,0
171531,6106,465.1,-36.3,-36.8,-40.2,97.4,139,596,959,,,,,,,,,,,,,,,,,
171731,6488,441.2,-38.5,-39.3,-42.5,97.3,142.3,297,500,,,,,,,,,,,,,,,,,
171931,6821,421.1,-41,-41.4,-44.6,100,149.3,356,637,,,,,,,,,,,,,,,,,
172131,7042,408.3,-42.9,-43.2,-46,99,150.2,395,670,,,,,,,,,,,,,,,,,
172331,7048,407.9,-43,-44.2,-46.6,93.4,142.3,374,663,,,,,,,,,,,,,,,,,
172531,7053,407.6,-43.1,-44.9,-46.7,89,135.9,330,635,,,,,,,,,,,,,,,,,
172731,7057,407.4,-43.3,-44.3,-46.7,96.3,147.4,318,614,,,,,,,,,,,,,,,,,
172931,7052,407.7,-43.3,-44.7,-47.1,92.3,141.2,342,653,,,,,,,,,,,,,,,,,
173131,7050,407.8,-43.6,-44.2,-46.9,99.8,152.9,252,473,,,,,,,,,,,,,,,,,
173331,6779,423.7,-42.5,-43.9,-46,92.1,139.7,337,605,,,,,,,,,,,,,,,,,
173531,6448,443.6,-40.7,-42,-45.5,93.1,138.9,602,1037,,,,,,,,,,,,,,,,,
173731,6438,444.3,-40.7,-44.3,-46.7,72.9,108.8,583,1017,,,,,,,,,,,,,,,,,
173931,6437,444.3,-40.6,-43.2,-46.2,80.6,120.2,173,296,,,,,,,,,,,,,,,,,
174131,6437,444.3,-40.8,-42,-45,93.5,139.6,0,0,,,,,,,,,,,,,,,,,
174331,6439,444.1,-40.9,-41.8,-44.9,97.4,145.7,382,700,,,,,,,,,,,,,,,,,
174531,6171,461,-38.8,-41.4,-44.4,81,118.8,636,1059,,,,,,,,,,,,,,,,,
174731,5674,493.4,-34.5,-40.2,-43.5,59.6,83.8,711,1085,,,,,,,,,,,,,,,,,
174931,5345,515.9,-31.8,-37,-40.2,63.9,87.6,760,1093,,,,,,,,,,,,,,,,,
175131,4799,555,-27.4,-32.3,-35.3,66.6,87.6,869,1180,,,,,,,,,,,,,,,,,
175331,4275,594.8,-24,-25.6,-28.5,88.4,112,1002,1195,,,,,,,,,,,,,,,,,
175531,3813,631.7,-20.8,-26.1,-29,64.8,79.6,931,940,,,,,,,,,,,,,,,,,
175731,3687,642,-19.8,-25.7,-28.7,61.9,75.5,704,684,,,,,,,,,,,,,,,,,
175931,3670,643.4,-19.8,-25.6,-28.9,62.6,76.3,741,706,,,,,,,,,,,,,,,,,
180131,3458,661.3,-18.8,-24.2,-26.2,65.9,79,743,701,,,,,,,,,,,,,,,,,
180331,3188,684.5,-17.4,-16.2,-18,100,117.2,937,1015,,91.3,22.1,19.2,16.3,10.5,8.5,1.9,2.5,0.5,0.9,1.3,0.6,0.4,1.2,2.9,2.3
180531,3029,698.5,-16.4,-16,-17.8,99.6,116.4,853,953,,113.8,26.1,30.9,26.6,15.6,10.1,2.2,1.7,0.2,0.2,0.1,0,0,0,0,0.1
180731,3023,699.1,-16.5,-15.5,-17.2,100,116.3,792,884,,87.3,17.5,23.4,17.4,8.5,6.7,2.8,2.5,0.4,0.7,0.8,0.8,0.4,1,2.1,2.3
180931,3290,675.8,-17.7,-19.5,-21.8,86.3,102.4,731,707,,64.2,15.5,14.1,11.5,7.1,6.7,1.9,2,0.3,0.7,0.4,0.5,0.2,1,1.1,1
181131,3808,632.1,-21.6,-21.8,-24.3,96.9,119.5,623,640,,69.7,16.5,17.3,14,8.7,8.5,2.5,1.9,0.2,0.1,0,0,0,0,0,0
181331,3955,620,-23,-25.3,-28.3,83.1,104.1,422,436,,92,17.6,18.8,16.9,12.9,14,4.7,6,0.9,0.2,0.1,0,0,0,0,0
181531,3962,619.5,-23.1,-27.2,-30.3,70.5,88.6,560,464,,80.5,14.5,16.8,16.5,11.5,12.4,3.9,4.1,0.4,0.2,0.1,0,0,0.1,0,0
181731,3968,619,-23.2,-24.5,-27.3,89.5,112.1,536,492,,53.2,10.5,13.3,10.8,7.7,6.5,2.4,1.6,0.1,0.1,0,0,0,0,0,0
181931,3966,619.2,-22.9,-25.1,-27.7,85.2,106.9,498,500,,63.5,12.3,16.2,13.5,8.5,7.5,2.4,2.4,0.2,0.1,0.1,0,0,0,0.1,0
182131,4166,603.3,-24.9,-24.3,-27.5,97.6,123.4,984,1018,,49.5,9.1,12,10.2,6,6,2.9,1.6,0.2,0.1,0.1,0.3,0.1,0.1,0.4,0.3
182331,4748,558.8,-28.4,-29.3,-32,94.1,124.5,621,787,,468.8,59.3,100.1,98.8,77.6,79.2,27.6,20.6,2.4,0.8,0.5,0.4,0.2,0.7,0.4,0.4
182531,5326,517.2,-31.9,-32.4,-35.4,97.3,133,625,814,,546.9,72.5,109.3,111.4,85.6,93.7,37.4,25.1,4.3,1.8,0.7,1.1,0.5,1.1,1.3,1.2
182731,5517,504,-32.9,-33.9,-36.9,95.2,131.9,596,828,,752.3,108.2,156.3,152,118.8,122.5,48.2,30.7,5.8,1.8,1.2,1.1,0.8,1.4,1.9,1.6
182931,5521,503.7,-33.1,-33.6,-36.8,98,135.7,628,860,,762.8,107.2,160.9,151.3,120.3,128.3,48,32,5.3,2.6,1.1,1.2,0.6,1.1,1.5,1.4
183131,5523,503.6,-32.9,-34.2,-37.3,92.9,128.7,537,761,,710.1,103.1,145.2,140.2,114.9,124.7,42.9,29,4.3,1.6,0.7,0.9,0.4,0.9,0.7,0.6
183331,5635,496,-33.5,-34.3,-37.4,97.1,135.2,552,827,,737,111.3,144.1,148.7,120.5,129.2,45.9,29.1,4.2,1.7,0.5,0.4,0.3,0.3,0.5,0.4
183531,5961,474.4,-35.6,-35.3,-38.3,100,141,750,1163,,,,,,,,,,,,,,,,,
183731,5985,472.9,-35.6,-35.9,-39,100,141.8,610,942,,,,,,,,,,,,,,,,,
183931,5990,472.6,-35.7,-35.9,-39,99.9,141.7,456,705,,,,,,,,,,,,,,,,,
184131,5751,488.3,-34,-34.6,-37.4,98.5,137.9,734,1081,,,,,,,,,,,,,,,,,
184331,5404,511.7,-31.4,-31.2,-34.3,100,135.6,895,1290,,,,,,,,,,,,,,,,,
184531,5371,514,-31.2,-30.6,-33.7,100,134.8,874,1291,,,,,,,,,,,,,,,,,
184731,5367,514.3,-31.1,-30.5,-33.5,100,134.6,697,1045,,,,,,,,,,,,,,,,,
184931,5352,515.3,-31,-30.7,-33.7,100,134.9,613,919,,,,,,,,,,,,,,,,,
185131,5354,515.2,-30.8,-33.1,-36.7,84.2,114.1,498,742,,,,,,,,,,,,,,,,,
185331,5139,530.4,-29.4,-30.5,-33,93.5,124.9,578,823,,,,,,,,,,,,,,,,,
185531,5018,539,-28.5,-28.6,-31.6,100,132.2,190,274,,,,,,,,,,,,,,,,,
185731,4959,543.2,-28,-29,-31.8,95.6,126.3,349,513,,,,,,,,,,,,,,,,,
185931,4696,562.5,-26.3,-26,-28.9,100,128.9,655,886,,,,,,,,,,,,,,,,,
190131,4683,563.6,-26.2,-25.9,-28.8,100,128.8,552,744,,,,,,,,,,,,,,,,,
190331,4682,563.6,-26,-26.3,-29.1,99.8,129,564,766,,,,,,,,,,,,,,,,,
190531,4679,563.9,-25.9,-27,-29.7,95.1,123.1,306,407,,,,,,,,,,,,,,,,,
190731,4352,588.8,-23.9,-25.7,-28.2,89.5,113.6,626,787,,,,,,,,,,,,,,,,,
190931,3825,630.8,-21.2,-29.1,-32.3,52.6,65.1,499,587,,,,,,,,,,,,,,,,,
191131,3291,675.7,-18.7,-28.5,-32.6,43.8,52.8,421,472,,,,,,,,,,,,,,,,,
191331,2753,723.5,-17,-21.4,-23.1,71.3,84.5,672,728,,,,,,,,,,,,,,,,,
191531,2196,775.9,-14.8,-19.6,-21.5,68.6,79.5,442,464,,,,,,,,,,,,,,,,,
191731,1717,823.3,-12.9,-17.3,-19,71.5,81.4,378,401,,,,,,,,,,,,,,,,,
191931,1459,849.9,-13.2,-13.4,-14.6,94.9,107.5,295,282,,224.2,18.5,26.4,29.1,24.5,30.3,10.1,15.4,3,6.2,7.4,7.4,4.6,10.6,17.1,13.7
192131,993,899.5,-11,-11,-12.1,98.5,109.4,137,139,,104.7,11.2,19.1,19.7,18.4,21.2,7.2,4.9,0.3,0.4,0.2,0.3,0.2,0.4,0.6,0.6
192331,1090,889.1,-11.6,-11.8,-12.2,96.8,108.2,145,138,,72.3,8.1,13.5,14.2,13.1,13,4.5,3.7,0.2,0.2,0.2,0.2,0.1,0.3,0.5,0.4
192531,1570,838.3,-14.3,-13.9,-15.1,97.1,110.8,198,198,,187.9,14.6,23.8,26.9,24.7,29,9.5,12.2,1.5,3.9,6,4.9,3.2,7.9,11.4,8.5
192731,1170,880.5,-12.4,-11.8,-12.8,100,112.2,142,134,,91,8.5,15.6,16.1,15.6,17,6.2,5.1,0.3,0.5,0.8,0.8,0.4,1,1.7,1.3
192931,754,925.9,-10.9,-10.5,-11.4,100,110.8,134,139,,33.3,4.7,7.4,7.3,6.1,4.7,1.4,0.6,0,0.1,0.2,0.1,0.1,0.2,0.3,0.2
193131,491,955.6,-10.7,-10.6,-11.5,99.9,110.8,95,103,,75.4,6.9,13.2,15.3,13.7,14.6,5.6,4.6,0.4,0.1,0.1,0.1,0.1,0.1,0.2,0.3
193331,474,957.5,-10.8,-10.7,-11.6,100,111,106,114,,90,15.9,15,15.8,14.1,15.5,6,5.7,0.4,0.3,0.2,0.2,0.1,0.2,0.3,0.3
193531,463,958.8,-10.7,-10.4,-11.3,100,110.7,162,166,,85.3,9.7,15.3,17.1,15.4,16.1,5.3,4.9,0.3,0.2,0.1,0.1,0.1,0.2,0.3,0.3
193731,185,991.2,-9.7,-10.1,-10.8,97.6,107.3,919,1011,,95.3,10.3,16.2,18.8,16.7,18.3,6.8,6.5,0.5,0.3,0.2,0.1,0.1,0.1,0.2,0.2
