Time,Altitude,Pressure,RFTS,DewPt,LICDew,RH,ReHuI,CN3025,CN7610,CN3025_corrected,PCTcon,PCcn01,PCcn02,PCcn03,PCcn04,PCcn05,PCcn06,PCcn07,PCcn08,PCcn09,PCcn10,PCcn11,PCcn12,PCcn13,PCcn14,PCcn15
212405,2,1019,-7.9,-10.2,-3.8,75.2,80.3,3698,727,,2477.8,2305.6,60.9,32.9,20.7,22.8,9.3,14.5,3.7,4.8,1.7,0.4,0.1,0.1,0.1,0.1
212605,88888,1018.9,-7.2,-10.1,-5.4,69.5,73.3,0,0,,2670,2569.9,19.6,13.4,12.4,19.1,8.3,14.8,4.1,5.7,1.6,0.4,0.1,0.2,0.1,0.1
212805,88888,1018.9,-7.2,-10.1,-5.9,71.4,75.5,0,0,,2352,2263.6,14.1,11.5,11.2,18.1,8.2,14,3.8,5.3,1.2,0.6,0.2,0.1,0.1,0
213005,247,1016.7,-7.2,-10.1,-6.3,72.6,77,0,0,,1872.1,1800.5,11.5,9.3,8.8,14.4,6.6,11.3,3.3,4.6,1.1,0.3,0.1,0.1,0.1,0.1
213205,247,1018.9,-6.5,-10.6,-6.4,69.4,73.6,0,0,,2844,2515.9,154.2,68.6,32.3,31.2,11.3,17.1,4.6,6.2,1.5,0.5,0.1,0.2,0.2,0.1
213405,247,1018.6,-6.4,-10.1,-17.5,69.5,73.3,0,0,,14595,5460.1,3633.5,2654.6,1508.8,980.5,189.1,144.9,12.3,8.1,2.1,0.5,0.1,0.2,0.2,0.1
213605,207,1010.5,-8,-9.9,-7.3,86.8,93.9,0,0,,2098.3,1865.4,92.3,50.1,29.5,27.3,9.4,14,3.2,4,1.1,0.4,0.2,0.3,0.5,0.6
213805,759,925.7,-10.4,-11.6,-9.8,93,103.2,66,85,,67.5,8.3,11.1,10.4,8.9,11.1,3.7,3.8,0.5,1.1,1.1,1.1,0.8,1.5,2.3,1.9
214005,1529,842.7,-13.5,-16.7,-14.2,79.7,91.2,226,242,,148,15.5,24.9,29.6,27.1,29.7,8.5,8.2,0.5,0.5,0.4,0.5,0.3,0.6,0.8,0.8
214205,2220,773.7,-15,-18.7,-16.5,75.8,88,493,550,,536.6,60.8,93.6,104.6,94.7,112.5,34,33,2.2,0.7,0.2,0.1,0,0.1,0,0
214405,2817,717.7,-16.9,-23.7,-20.7,57.7,68.3,597,678,,689.2,65.1,97.9,123.9,119,158.6,55.1,61.2,6.9,1,0.3,0.1,0.1,0.1,0.1,0
214605,3386,667.5,-18.8,-21,-20,86.7,104.8,602,717,,566.3,66.1,115.1,114.8,97.4,107.2,32.6,28.5,2.9,0.8,0.2,0.1,0.2,0.1,0.2,0.1
214805,3962,619.6,-21.4,-21.4,-22.6,100,123.3,608,752,,600.2,69.3,109.1,118.3,105.3,120,38.4,33.1,4.4,0.9,0.5,0.4,0.1,0.1,0.1,0.2
215005,4539,574.5,-24.5,-25.1,-26.5,97.4,124,794,1031,,780,81.5,129.8,139.3,131.5,163.6,62.6,56.7,9.7,2.1,1,0.3,0.3,0.7,0.6,0.3
215205,5099,533.3,-27.9,-28.7,-30.8,97.8,129.1,608,857,,626.2,72.4,125.2,126.5,109.6,116.8,39,28.1,4.7,1.5,0.6,0.6,0.2,0.3,0.5,0.3
215405,5617,497.2,-31.4,-30.9,-34.1,99.7,134.7,503,748,,594.1,64.9,112.5,123.9,105.1,113,41.3,24.9,4.2,1.8,0.5,0.7,0.1,0.2,0.6,0.4
215605,6050,468.7,-34.5,-34.8,-37.2,99.8,140.1,264,420,,228,24.7,36.7,36.3,28.5,36.4,21.3,34.7,6.1,1.5,0.5,0.4,0.2,0.2,0.3,0.2
215805,6442,444,-37.1,-37.1,-40.1,99.4,142.5,392,675,,562,71.3,112,104.7,81.4,88.8,41.5,44.8,11.4,3.2,0.8,0.9,0.1,0.5,0.2,0.1
220005,6808,422,-39.6,-39.1,-43,99.4,145.2,521,931,,455.7,74.6,116.8,93,66.8,60.5,23.2,14.8,3.5,1.4,0.5,0,0,0,0,0.7
220205,7038,408.5,-41.6,-41.5,-45.1,93.4,138.5,595,1182,,,,,,,,,,,,,,,,,
220405,7052,407.7,-41.8,-45.8,-45.4,71.6,108.1,528,1052,,,,,,,,,,,,,,,,,
220605,7055,407.5,-42,-43.3,-45.1,93.8,141.8,501,1003,,,,,,,,,,,,,,,,,
220805,7059,407.3,-42.2,-42.5,-44.8,100,150.8,405,796,,,,,,,,,,,,,,,,,
221005,7050,407.8,-42.4,-42.8,-45.4,100,151.3,293,553,,,,,,,,,,,,,,,,,
221205,7053,407.6,-42.5,-43.1,-45.7,100,151.7,346,674,,,,,,,,,,,,,,,,,
221405,7057,407.4,-42.7,-43.3,-45.9,98.5,149.6,473,911,,,,,,,,,,,,,,,,,
221605,7059,407.3,-42.8,-43.2,-45.9,100,151.9,471,915,,,,,,,,,,,,,,,,,
221805,7060,407.2,-42.8,-43.6,-46.3,97.7,148.7,483,919,,,,,,,,,,,,,,,,,
222005,7060,407.2,-42.8,-43.9,-46.6,96.5,147,481,930,,,,,,,,,,,,,,,,,
222205,7061,407.2,-43.1,-44.7,-47.6,91.2,139.4,478,931,,,,,,,,,,,,,,,,,
222405,7056,407.4,-43.3,-46.8,-49,74,113.2,453,863,,,,,,,,,,,,,,,,,
222605,7061,407.2,-43.4,-46.1,-48.7,81.2,124.4,396,758,,,,,,,,,,,,,,,,,
222805,7064,407,-43.5,-48.5,-51.5,62.8,96.2,502,933,,,,,,,,,,,,,,,,,
