Time,Altitude,Pressure,RFTS,DewPt,LICDew,RH,ReHuI,CN3025,CN7610,CN3025_corrected,PCTcon,PCcn01,PCcn02,PCcn03,PCcn04,PCcn05,PCcn06,PCcn07,PCcn08,PCcn09,PCcn10,PCcn11,PCcn12,PCcn13,PCcn14,PCcn15
193329,57,1013.3,-9.5,-12.7,-12.6,76.8,84.1,0,0,,13074.2,-999.9,144.8,26.7,22.1,30.7,11.9,20.7,5.5,6,2.7,0.6,0.1,0.2,0.1,0.1
193529,59,1014.4,-11.3,-14.7,-10.6,71.2,78.9,0,0,,19532.1,-999.9,261.5,20.8,18.3,27.6,10.2,21.1,4.7,5.7,2.4,0.3,0.1,0.1,0.2,0.1
193729,60,1014.4,-11.7,-15,-10.4,74.3,83.1,3251,430,,22165.9,-999.9,839.3,255,139.4,104.2,24,35,6.3,6.3,2.6,0.5,0.1,0.1,0.1,0.1
193929,68,1013.4,-12.3,-15,-10.1,83,93.9,157,151,,24623.8,-999.9,573.1,22,19,29.5,11.3,22.8,6.2,6.4,3.3,0.5,0.1,0.1,0.1,0.1
194129,503,962.6,-16.4,-16,-11.7,97.6,113.8,369,405,,72.2,7.2,9.5,11.7,10.5,12.2,5,4.2,0.5,0.8,1.3,1.3,0.8,1.7,3,2.6
194329,1176,887.1,-15.8,-16.7,-17.9,94.1,110,194,204,,132.2,16.5,26.4,29.6,24.9,23.2,5,5,0.3,0.3,0.3,0.1,0.1,0.1,0.3,0.2
194529,1747,827.2,-15.5,-26.8,-27.4,38.8,45.3,270,291,,200.4,26.7,45.6,47.2,34.9,30.8,7,7.2,0.4,0.2,0.1,0.1,0,0.1,0.1,0
194729,2313,771.1,-17.6,-22.3,-24.5,69.4,82.8,273,294,,117.8,13.4,23.8,24.1,20.2,21.1,6.9,6.7,0.6,0.3,0.1,0.2,0.1,0.1,0.1,0.1
194929,2896,716.5,-19.8,-23.5,-26,75.7,92.3,283,311,,231.2,26.3,41.6,45.2,40.8,47.1,13.8,13.9,1.6,0.4,0.1,0,0,0.1,0,0.1
195129,3498,663.5,-22.5,-26.8,-29.4,72,90.2,360,423,,316.1,32.6,58.2,64.6,55.8,62.1,20.8,18.4,2.7,0.6,0.1,0.1,0,0,0,0
195329,4091,614.4,-25.4,-32.1,-34.5,57.1,73.6,528,645,,542.2,61.5,99.9,110.5,93.7,107,33.4,30.8,4.2,0.6,0.2,0.2,0.1,0.1,0.1,0.1
195529,4660,570.1,-28.7,-35.6,-37.1,55.3,73.8,494,633,,526.1,57.2,91.7,98.2,90.7,107.8,37.4,33.4,6.5,1.4,0.4,0.2,0.1,0.4,0.4,0.4
195729,5128,535.5,-31.5,-31.8,-34.6,97.4,132.5,446,599,,430.4,54.1,84,77.9,70,80.7,30.7,25.5,5.3,1.1,0.5,0.1,0.1,0.1,0.2,0.1
195929,5462,512.1,-33.3,-33.6,-35.7,97.9,135.4,453,643,,513.7,61.9,93.7,93.9,85.6,97.7,36.1,31.9,8.5,2.3,0.6,0.4,0.1,0.2,0.4,0.5
200129,5961,478.5,-36.1,-36.1,-38.5,96.5,136.6,236,119,,58.5,10.7,12,10.9,8.5,8.6,3.4,2.7,0.5,0.5,0.1,0.2,0.1,0.1,0.1,0.1
200329,6373,452,-39,-39.1,-43.4,91.3,131.9,197,254,,238.2,38.9,49.1,45.1,37.1,38.8,14.4,10.4,1.8,1.3,0.2,0.1,0.1,0.3,0.3,0.2
200529,6494,444.5,-39.6,-48,-52.5,43.6,64.4,40,64,,600.7,91.3,123.4,120.3,93.5,99.1,34.6,26.2,7.2,2.8,0.9,0.6,0.1,0.2,0.1,0.4
200729,6501,444,-39.9,-49.2,-52.8,39.2,58.1,117,225,,,,,,,,,,,,,,,,,
200929,6505,443.8,-40.2,-48.5,-52.9,43.6,64.9,251,420,,,,,,,,,,,,,,,,,
201129,6506,443.7,-40.5,-48.2,-52.8,46.3,69,232,390,,,,,,,,,,,,,,,,,
201329,6505,443.8,-40.9,-48.1,-52.7,48.9,73.1,246,403,,,,,,,,,,,,,,,,,
201529,6507,443.7,-41.2,-48.1,-52.7,50.3,75.4,246,408,,,,,,,,,,,,,,,,,
201729,6510,443.5,-41.7,-48.2,-51.9,52.4,78.9,265,460,,,,,,,,,,,,,,,,,
