Time,Pressure,Temperature,Altitude,DewPt,RH,FS96CNC,  PCTcon,CN3025,CN7610,CN3025_corrected,Latitude,Longitude,CO2,H2O
192015,996.5,-0.5,89,-8.6,56.8,0,198.5,284,341,303.3507252,68.30372,133.47977,2587,526
192016,995.8,-0.7,95,-7.9,60,0,174.9,281,324,300.2156994,68.30372,133.47804,2588,526
192017,994.9,-0.6,102,-7.8,60.3,0,149.4,256,329,273.5863542,68.30372,133.47633,2587,525
192018,994.2,-0.6,108,-8.1,59.2,0,150.3,281,327,300.371395,68.30389,133.47461,2585,525
192019,993.7,-0.7,113,-8.4,57.6,0,169.2,307,328,328.2160273,68.30389,133.47342,2585,525
192020,992.8,-0.7,120,-8.7,56.3,0,126.8,315,329,336.8643155,68.30389,133.47136,2583,525
192021,991.9,-0.7,128,-9,55.3,0,114.4,307,332,328.4006731,68.30406,133.46999,2582,524
192022,991,-0.9,135,-9.1,54.9,0,144.5,290,331,310.3009094,68.30406,133.46809,2580,524
192023,989.9,-0.9,145,-8.8,56.4,0,120.1,262,329,280.433445,68.30406,133.46689,2578,524
192024,988.9,-1,153,-8.7,56.9,0,87.5,251,324,268.7387796,68.30423,133.46518,2575,524
192025,987.9,-0.9,161,-9,56.1,0,190.7,265,322,283.8104665,68.30423,133.46329,2573,524
192026,986.8,-1,171,-9,56,0,137.8,290,321,310.6823156,68.30423,133.46175,2571,524
192027,985.7,-1.1,181,-8.8,57.3,0,92.6,283,319,303.2762317,68.30441,133.46019,2569,523
192028,984.8,-1.1,189,-9,56.5,0,91.3,269,323,288.3443558,68.30441,133.45831,2568,523
192029,983.6,-1.1,199,-9.1,56.3,0,105.4,264,316,283.0762469,68.30441,133.45676,2567,523
192030,982.7,-1.3,206,-8.8,57.9,0,96,277,322,297.086246,68.30457,133.45488,2565,523
192031,981.6,-1.4,216,-9,57.4,0,167.7,301,311,322.9187228,68.30457,133.45299,2563,523
192032,980.6,-1.5,224,-9.1,57.5,0,105.2,294,319,315.4892741,68.30457,133.45178,2562,523
192033,979.8,-1.5,231,-8.9,58.3,0,90,293,323,314.4791525,68.30475,133.44989,2561,522
192034,979,-1.5,238,-9,58.4,0,131.1,298,328,319.9088023,68.30475,133.44801,2560,522
