Time,Pressure,Temperature,Altitude,DewPt,RH,FS96CNC,  PCTcon,CN3025,CN7610,CN3025_corrected,Latitude,Longitude,CO2,H2O
205002,999.1,-8.7,118,-9.4,98.9,0,1386.5,30130,,32154.58276,71.28513,156.76581,2479,480
205003,998.3,-8.8,124,-9.4,99.4,0,1110.7,26242,,28013.03842,71.28513,156.76425,2479,479
205004,997.4,-8.7,132,-9.5,98.8,0,923.6,19187,,20488.16312,71.28513,156.76219,2479,480
205005,996.7,-8.6,138,-9.5,98,0,877,32961,,35204.50042,71.2853,156.76048,2477,479
205006,996,-7.9,144,-9.5,95.5,0,479.6,15996,,17088.73484,71.2853,156.75894,2475,479
205007,995.3,-7.1,150,-9.4,91.3,0,269.6,4603,,4918.572269,71.2853,156.75688,2474,479
205008,994.3,-6,158,-9.3,86.6,0,198.6,3334,,3563.723057,71.2853,156.75533,2464,477
205009,993.4,-4.9,166,-8.7,84.1,0,173,3177,,3396.877175,71.2853,156.75362,2439,473
205010,992.4,-4.1,174,-7.9,83,0,189.8,3524,,3769.072144,71.2853,156.75156,1917,449
205011,991.4,-3.5,183,-7.2,83,0,165.8,3281,,3510.253198,71.2853,156.7495,1845,464
205012,990.6,-2.4,190,-6.3,82.6,0,123.7,2582,,2763.081967,71.2853,156.74812,1836,481
205013,989.6,-1.6,198,-5.6,81.5,0,126.2,2158,1833,2310.035309,71.2853,156.74606,1829,493
205014,988.4,-1.1,208,-4.9,81.3,0,99.8,1094,1009,1171.486183,71.2853,156.744,1825,517
205015,987.5,-0.3,216,-4.2,81.1,0,90.4,817,884,875.0932776,71.2853,156.74194,1822,535
205016,986.6,0.5,224,-3.6,80,0,94.2,692,651,741.3940182,71.2853,156.74057,1820,544
205017,985.6,0.9,232,-2.9,80,0,88.9,489,537,524.0500883,71.2853,156.73851,1818,557
205018,984.6,1.2,240,-2.3,80.6,0,124.1,388,472,415.924495,71.2853,156.73679,1816,569
205019,983.8,1.4,248,-2.1,79.8,0,119,400,535,428.8805142,71.28548,156.73456,1814,577
205020,982.9,1.7,255,-2.1,77.8,0,78.5,330,495,353.9108783,71.28548,156.73285,1813,583
205021,982.2,1.9,261,-2.2,75.6,0,117.9,351,407,376.5013556,71.28548,156.73079,1811,590
205022,981.6,2,266,-2.4,73.7,0,105,348,373,373.3412476,71.28548,156.72942,1809,599
205023,981,2.1,271,-2.4,72.7,0,107.8,288,348,309.0194286,71.28548,156.72701,1807,606
205024,980.5,2.3,275,-2.3,72.4,0,123.8,320,327,343.398338,71.28548,156.72546,1805,612
205025,980,2.4,280,-2.2,72,0,126.7,261,302,280.11936,71.28548,156.7234,1805,618
205026,979.5,2.4,284,-2.1,72.2,0,123,270,282,289.8146176,71.28548,156.72134,1803,623
205027,979.2,2.5,287,-2.1,72.1,0,125.8,249,267,267.2932376,71.28548,156.71893,1802,627
205028,978.8,2.5,290,-2,72,0,131.4,249,259,267.3194104,71.28548,156.71722,1801,631
