Time,Altitude,Pressure,RFTS,DewPt,LICDew,RH,ReHuI,CN3025,CN7610,CN3025_corrected,PCTcon,PCcn01,PCcn02,PCcn03,PCcn04,PCcn05,PCcn06,PCcn07,PCcn08,PCcn09,PCcn10,PCcn11,PCcn12,PCcn13,PCcn14,PCcn15
203406,85,1003,-6.5,-10.5,-43,66.6,70.4,0,0,,6803.4,2548.2,1557.7,895.6,590.8,592.5,186.6,270.6,59,76.1,16.7,3.6,1.3,1.7,1.7,1.2
203606,84,1003.2,-5.1,-9.4,-42.9,55.7,56.7,0,0,,4772.1,2368.4,1343.9,562.5,251.6,161.9,33.9,33.7,6,7,1.6,0.5,0.3,0.3,0.5,0.2
203806,84,1003.2,-5.9,-9.9,-42.9,61.7,63.9,0,17,,1381,663.1,382.4,161.6,77.4,59.4,15.1,15,2.9,2.9,0.5,0.2,0.1,0.1,0.1,0.1
204006,83,1003.2,-6.5,-10.2,-42.9,69.9,73.8,0,-10,,658.8,318.8,166.5,67.7,40.9,38.5,10.5,11.2,1.9,2,0.3,0.2,0,0.1,0.1,0.1
204206,83,1003.2,-6.5,-10.2,-42.9,69.7,73.5,1,0,,1120.7,452.5,353.7,164.7,76.3,46.1,11.1,11.8,1.7,2,0.3,0.2,0.1,0.1,0.2,0.1
204406,88888,,-88.8,-9.9,,888.8,-88.8,0,0,,1239.2,471.1,414.9,197.9,84.8,46.4,10,10.3,1.6,1.5,0.3,0.1,0.1,0.1,0.1,0.1
204606,84,1003.1,-6.6,-10.1,-43,69.2,73,29005,-187,,1935.5,683.8,619.7,331,160.6,97.9,18.1,17.5,2.7,3,0.6,0.2,0.1,0.1,0.2,0.1
204806,92,1002.1,-7.1,-9.4,-28.9,84.2,90.3,44460,0,,4989.6,1754.7,1621.8,912.2,406.7,221,38.2,27.7,3.1,2.7,0.5,0.2,0.1,0.1,0.2,0.1
205006,557,948.5,1.7,-4.6,-1.7,64.9,77.9,624,474,,107.3,64.3,10.1,9,7.9,8.8,2.8,3.4,0.6,0.3,0.1,0,0,0,0,0
205206,1593,836.4,-3.9,-8.8,-6,71.7,75,470,475,,38.4,5.7,8.2,9.3,6.9,5.8,1.3,1,0.1,0.1,0,0,0,0,0,0
205406,2582,739.6,-11.3,-14.9,-13.8,77.7,87.2,734,698,,49.4,7.1,11.3,10.7,8.9,7.9,1.8,1.5,0.1,0,0,0,0,0,0,0
205606,3479,659.8,-18,-19.2,-20.3,92.2,110.3,381,430,,56.8,9.1,15.7,12.1,8.4,7.7,1.9,1.6,0.3,0,0,0,0,0,0,0
205806,4282,594.3,-23.6,-24,-27.2,98.9,124.9,33,36,,120.8,14.1,26.1,22.6,19.4,21.7,8.3,7.2,1.2,0.1,0.1,0.1,0,0,0,0
210006,4972,542.4,-28.7,-28.5,-32.2,100,132.1,0,0,,,,,,,,,,,,,,,,,
210206,5586,499.4,-32.4,-30.8,-36.2,99,133.5,0,0,,,,,,,,,,,,,,,,,
210406,6068,467.5,-34.8,-36.5,-38.8,90.5,127.8,0,0,,,,,,,,,,,,,,,,,
210606,6514,439.7,-37.6,-39.3,-41.4,90,130.4,0,0,,,,,,,,,,,,,,,,,
210806,6926,415,-40.2,-40.1,-42.5,100,147.5,0,0,,,,,,,,,,,,,,,,,
211006,7050,407.8,-41.1,-40.8,-43.4,100,148.6,0,0,,,,,,,,,,,,,,,,,
