  TRAJ MGRID  YEAR MONTH  DATE  HOUR   MIN FOREH     AGE      LAT     LONG ALTITUDE PRESSURE    THETA AIR_TEMP RAINFALL MIXDEPTH RELHUMID TERR_MSL SUN_FLUX
     1     1    15     4    11    19     0     1     0.0   81.552 -101.218   2735.8    692.5    271.8    244.7      0.0    255.9     34.9     16.2    233.9
     2     1    15     4    11    19     0     1     0.0   81.552 -101.218   2752.0    693.7    272.3    245.3      0.0    242.0     37.7      0.0    230.8
     3     1    15     4    11    19     0     1     0.0   81.552 -101.218   2733.9    692.2    271.1    244.0      0.0    266.4     36.6     18.1    243.7
     4     1    15     4    11    19     0     1     0.0   81.552 -101.218   2735.8    692.6    271.8    244.7      0.0    255.9     34.9     16.2    233.9
     5     1    15     4    11    19     0     1     0.0   81.552 -101.218   2752.0    693.7    272.2    245.2      0.0    242.0     37.9      0.0    230.8
     6     1    15     4    11    19     0     1     0.0   81.552 -101.218   2733.9    692.2    271.0    244.0      0.0    266.4     36.7     18.1    243.7
     7     1    15     4    11    19     0     1     0.0   81.552 -101.218   2742.9    692.9    271.7    244.7      0.0    254.0     34.9      9.1    233.7
     8     1    15     4    11    19     0     1     0.0   81.552 -101.218   2752.0    693.7    272.3    245.3      0.0    225.2     37.7      0.0    228.7
     9     1    15     4    11    19     0     1     0.0   81.552 -101.218   2734.7    692.2    271.1    244.0      0.0    262.3     36.6     17.3    243.7
    10     1    15     4    11    19     0     1     0.0   81.552 -101.218   2735.8    717.1    270.2    245.7      0.0    255.9     33.9     16.2    233.9
    11     1    15     4    11    19     0     1     0.0   81.552 -101.218   2752.0    718.2    270.6    246.2      0.0    242.0     36.3      0.0    230.8
    12     1    15     4    11    19     0     1     0.0   81.552 -101.218   2733.9    716.8    269.5    245.1      0.0    266.4     35.6     18.1    243.7
    13     1    15     4    11    19     0     1     0.0   81.552 -101.218   2735.8    717.1    270.2    245.7      0.0    255.9     34.0     16.2    233.9
    14     1    15     4    11    19     0     1     0.0   81.552 -101.218   2752.0    718.3    270.6    246.1      0.0    242.0     36.4      0.0    230.8
    15     1    15     4    11    19     0     1     0.0   81.552 -101.218   2733.9    716.8    269.5    245.0      0.0    266.4     35.7     18.1    243.7
    16     1    15     4    11    19     0     1     0.0   81.552 -101.218   2742.9    717.5    270.2    245.7      0.0    254.0     34.0      9.1    233.7
    17     1    15     4    11    19     0     1     0.0   81.552 -101.218   2752.0    718.2    270.6    246.1      0.0    225.2     36.3      0.0    228.7
    18     1    15     4    11    19     0     1     0.0   81.552 -101.218   2734.7    716.8    269.5    245.0      0.0    262.3     35.6     17.3    243.7
    19     1    15     4    11    19     0     1     0.0   81.552 -101.218   2735.8    668.7    273.2    243.5      0.0    255.9     36.4     16.2    233.9
    20     1    15     4    11    19     0     1     0.0   81.552 -101.218   2752.0    669.9    273.8    244.1      0.0    242.0     41.4      0.0    230.8
    21     1    15     4    11    19     0     1     0.0   81.552 -101.218   2733.9    668.3    272.5    242.8      0.0    266.4     38.1     18.1    243.7
    22     1    15     4    11    19     0     1     0.0   81.552 -101.218   2735.8    668.8    273.2    243.5      0.0    255.9     36.5     16.2    233.9
    23     1    15     4    11    19     0     1     0.0   81.552 -101.218   2752.0    669.9    273.7    244.1      0.0    242.0     41.5      0.0    230.8
    24     1    15     4    11    19     0     1     0.0   81.552 -101.218   2733.9    668.4    272.4    242.8      0.0    266.4     38.2     18.1    243.7
    25     1    15     4    11    19     0     1     0.0   81.552 -101.218   2742.9    669.1    273.2    243.5      0.0    254.0     36.3      9.1    233.7
    26     1    15     4    11    19     0     1     0.0   81.552 -101.218   2752.0    669.9    273.8    244.2      0.0    225.2     41.3      0.0    228.7
    27     1    15     4    11    19     0     1     0.0   81.552 -101.218   2734.7    668.3    272.5    242.9      0.0    262.3     37.9     17.3    243.7
     1     1    15     4    11    18     0     0    -1.0   81.768  -99.082   2735.6    692.5    271.7    244.6      0.0    256.0     34.5     16.5    211.7
     2     1    15     4    11    18     0     0    -1.0   81.773  -98.718   2750.8    692.6    272.3    245.2      0.0    221.0     38.2      8.2    206.1
     3     1    15     4    11    18     0     0    -1.0   81.758  -99.417   2734.3    692.1    270.9    243.8      0.0    287.0     36.9     18.1    216.6
     4     1    15     4    11    18     0     0    -1.0   81.765  -99.081   2735.4    692.3    271.7    244.6      0.0    256.0     34.5     18.1    211.8
     5     1    15     4    11    18     0     0    -1.0   81.771  -98.716   2750.8    692.6    272.3    245.2      0.0    241.0     38.1      8.3    208.0
     6     1    15     4    11    18     0     0    -1.0   81.753  -99.427   2734.4    692.2    270.9    243.8      0.0    287.6     36.9     18.1    219.9
     7     1    15     4    11    18     0     0    -1.0   81.771  -99.078   2742.9    693.0    271.6    244.6      0.0    256.0     34.5      8.3    211.7
     8     1    15     4    11    18     0     0    -1.0   81.776  -98.718   2751.2    693.0    272.3    245.2      0.0    220.7     38.2      4.6    203.6
     9     1    15     4    11    18     0     0    -1.0   81.763  -99.407   2735.0    692.0    271.0    243.9      0.0    286.4     36.6     18.1    216.0
    10     1    15     4    11    18     0     0    -1.0   81.764  -99.235   2734.6    717.6    270.2    245.7      0.0    256.0     33.3     13.6    211.8
    11     1    15     4    11    18     0     0    -1.0   81.772  -98.811   2743.4    717.8    270.7    246.2      0.0    221.2     33.7      8.2    205.3
    12     1    15     4    11    18     0     0    -1.0   81.751  -99.587   2733.9    716.8    269.5    245.0      0.0    287.9     35.6     18.1    216.0
    13     1    15     4    11    18     0     0    -1.0   81.761  -99.235   2733.7    717.0    270.3    245.7      0.0    256.0     33.3     18.1    211.8
    14     1    15     4    11    18     0     0    -1.0   81.770  -98.808   2743.6    717.8    270.8    246.3      0.0    234.7     33.7      8.3    208.0
    15     1    15     4    11    18     0     0    -1.0   81.746  -99.598   2733.9    716.8    269.5    245.0      0.0    288.6     35.6     18.1    219.3
    16     1    15     4    11    18     0     0    -1.0   81.767  -99.231   2740.8    717.7    270.2    245.7      0.0    256.0     33.3      8.4    211.7
    17     1    15     4    11    18     0     0    -1.0   81.774  -98.815   2743.5    718.6    270.7    246.2      0.0    220.9     33.7      3.0    203.6
    18     1    15     4    11    18     0     0    -1.0   81.756  -99.579   2734.6    716.6    269.5    245.0      0.0    282.3     35.4     18.1    215.4
    19     1    15     4    11    18     0     0    -1.0   81.773  -98.912   2735.6    668.5    273.2    243.5      0.0    256.0     35.6     18.1    211.6
    20     1    15     4    11    18     0     0    -1.0   81.775  -98.614   2751.1    668.8    273.9    244.1      0.0    220.8     39.6      8.1    207.0
