  TRAJ MGRID  YEAR MONTH  DATE  HOUR   MIN FOREH     AGE      LAT     LONG ALTITUDE PRESSURE    THETA AIR_TEMP RAINFALL MIXDEPTH RELHUMID TERR_MSL SUN_FLUX
     1     1    15     4    11    19     0     1     0.0   81.542 -100.610   1859.4    782.0    266.1    248.0      0.0    256.1     33.2     16.6    234.0
     2     1    15     4    11    19     0     1     0.0   81.542 -100.610   1876.0    783.2    265.9    247.9      0.0    242.9     36.0      0.0    230.9
     3     1    15     4    11    19     0     1     0.0   81.542 -100.610   1857.9    781.9    265.7    247.6      0.0    266.6     34.0     18.1    243.9
     4     1    15     4    11    19     0     1     0.0   81.542 -100.610   1859.4    782.0    266.1    248.0      0.0    256.8     33.0     16.6    237.8
     5     1    15     4    11    19     0     1     0.0   81.542 -100.610   1876.0    783.2    266.0    248.0      0.0    250.4     35.8      0.0    230.9
     6     1    15     4    11    19     0     1     0.0   81.542 -100.610   1857.9    781.9    265.7    247.6      0.0    304.8     34.0     18.1    244.3
     7     1    15     4    11    19     0     1     0.0   81.542 -100.610   1859.4    782.0    265.9    247.8      0.0    256.1     33.6     16.6    234.0
     8     1    15     4    11    19     0     1     0.0   81.542 -100.610   1876.0    783.2    265.8    247.9      0.0    242.9     36.3      0.0    230.9
     9     1    15     4    11    19     0     1     0.0   81.542 -100.610   1857.9    781.8    265.7    247.6      0.0    266.6     34.0     18.1    243.9
    10     1    15     4    11    19     0     1     0.0   81.542 -100.610   1859.4    809.4    264.0    248.5      0.0    256.1     34.0     16.6    234.0
    11     1    15     4    11    19     0     1     0.0   81.542 -100.610   1876.0    810.6    263.8    248.4      0.0    242.9     35.1      0.0    230.9
    12     1    15     4    11    19     0     1     0.0   81.542 -100.610   1857.9    809.2    263.9    248.4      0.0    266.6     34.2     18.1    243.9
    13     1    15     4    11    19     0     1     0.0   81.542 -100.610   1859.4    809.4    264.1    248.6      0.0    256.8     33.8     16.6    237.8
    14     1    15     4    11    19     0     1     0.0   81.542 -100.610   1876.0    810.6    263.8    248.4      0.0    250.4     35.0      0.0    230.9
    15     1    15     4    11    19     0     1     0.0   81.542 -100.610   1857.9    809.3    264.0    248.5      0.0    304.8     34.1     18.1    244.3
    16     1    15     4    11    19     0     1     0.0   81.542 -100.610   1859.4    809.3    263.8    248.3      0.0    256.1     34.5     16.6    234.0
    17     1    15     4    11    19     0     1     0.0   81.542 -100.610   1876.0    810.6    263.7    248.3      0.0    242.9     35.4      0.0    230.9
    18     1    15     4    11    19     0     1     0.0   81.542 -100.610   1857.9    809.2    263.8    248.3      0.0    266.6     34.4     18.1    243.9
    19     1    15     4    11    19     0     1     0.0   81.542 -100.610   1859.4    755.5    267.8    247.2      0.0    256.1     33.0     16.6    234.0
    20     1    15     4    11    19     0     1     0.0   81.542 -100.610   1876.0    756.7    267.9    247.4      0.0    242.9     35.4      0.0    230.9
