  TRAJ MGRID  YEAR MONTH  DATE  HOUR   MIN FOREH     AGE      LAT     LONG ALTITUDE PRESSURE    THETA AIR_TEMP RAINFALL MIXDEPTH RELHUMID TERR_MSL SUN_FLUX
     1     1    15     4    11    19     0     1     0.0   81.572 -100.997    576.5    933.0    252.8    247.8      0.0    255.5     43.2     15.5    233.8
     2     1    15     4    11    19     0     1     0.0   81.572 -100.997    592.0    934.4    253.1    248.2      0.0    240.3     42.1      0.0    230.4
     3     1    15     4    11    19     0     1     0.0   81.572 -100.997    573.9    932.7    252.6    247.7      0.0    266.0     43.7     18.1    243.3
     4     1    15     4    11    19     0     1     0.0   81.572 -100.997    576.5    933.0    252.7    247.8      0.0    255.5     43.3     15.5    233.9
     5     1    15     4    11    19     0     1     0.0   81.572 -100.997    592.0    934.4    253.0    248.2      0.0    240.4     42.2      0.0    230.4
     6     1    15     4    11    19     0     1     0.0   81.572 -100.997    573.9    932.6    252.8    247.8      0.0    266.3     43.2     18.1    243.3
     7     1    15     4    11    19     0     1     0.0   81.572 -100.997    576.5    933.0    252.8    247.9      0.0    255.5     42.9     15.5    233.8
     8     1    15     4    11    19     0     1     0.0   81.572 -100.997    592.0    934.4    253.2    248.3      0.0    240.3     41.6      0.0    230.4
     9     1    15     4    11    19     0     1     0.0   81.572 -100.997    573.9    932.7    252.7    247.7      0.0    266.0     43.6     18.1    243.3
    10     1    15     4    11    19     0     1     0.0   81.572 -100.997    576.5    965.8    248.1    245.7      0.0    255.5     42.9     15.5    233.8
    11     1    15     4    11    19     0     1     0.0   81.572 -100.997    592.0    967.1    249.4    247.0      0.0    240.3     38.8      0.0    230.4
    12     1    15     4    11    19     0     1     0.0   81.572 -100.997    573.9    965.5    247.0    244.5      0.0    266.0     47.6     18.1    243.3
    13     1    15     4    11    19     0     1     0.0   81.572 -100.997    576.5    965.8    247.9    245.5      0.0    255.5     43.7     15.5    233.9
    14     1    15     4    11    19     0     1     0.0   81.572 -100.997    592.0    967.1    249.3    247.0      0.0    240.4     39.1      0.0    230.4
    15     1    15     4    11    19     0     1     0.0   81.572 -100.997    573.9    965.5    246.8    244.4      0.0    266.3     48.2     18.1    243.3
    16     1    15     4    11    19     0     1     0.0   81.572 -100.997    576.5    965.8    248.3    245.8      0.0    255.5     42.2     15.5    233.8
    17     1    15     4    11    19     0     1     0.0   81.572 -100.997    592.0    967.1    249.4    247.0      0.0    240.3     38.8      0.0    230.4
    18     1    15     4    11    19     0     1     0.0   81.572 -100.997    573.9    965.5    247.2    244.7      0.0    266.0     46.7     18.1    243.3
    19     1    15     4    11    19     0     1     0.0   81.572 -100.997    576.5    901.5    255.9    248.4      0.0    255.5     42.0     15.5    233.8
    20     1    15     4    11    19     0     1     0.0   81.572 -100.997    592.0    902.8    256.0    248.6      0.0    240.3     41.4      0.0    230.4
    21     1    15     4    11    19     0     1     0.0   81.572 -100.997    573.9    901.1    256.2    248.7      0.0    266.0     41.0     18.1    243.3
    22     1    15     4    11    19     0     1     0.0   81.572 -100.997    576.5    901.5    256.0    248.5      0.0    255.5     41.7     15.5    233.9
    23     1    15     4    11    19     0     1     0.0   81.572 -100.997    592.0    902.8    256.0    248.6      0.0    240.4     41.4      0.0    230.4
    24     1    15     4    11    19     0     1     0.0   81.572 -100.997    573.9    901.2    256.4    248.8      0.0    266.3     40.6     18.1    243.3
    25     1    15     4    11    19     0     1     0.0   81.572 -100.997    576.5    901.5    255.9    248.4      0.0    255.5     42.1     15.5    233.8
    26     1    15     4    11    19     0     1     0.0   81.572 -100.997    592.0    902.8    256.0    248.6      0.0    240.3     41.3      0.0    230.4
    27     1    15     4    11    19     0     1     0.0   81.572 -100.997    573.9    901.2    256.1    248.6      0.0    266.0     41.4     18.1    243.3
     1     1    15     4    11    18     0     0    -1.0   81.929  -99.036    571.4    933.3    252.9    247.9      0.0    256.0     41.9     17.0    209.1
     2     1    15     4    11    18     0     0    -1.0   81.897  -98.996    588.0    934.1    253.1    248.2      0.0    205.2     41.2      3.7    201.7
     3     1    15     4    11    18     0     0    -1.0   81.924  -99.512    569.2    933.1    252.7    247.7      0.0    265.8     42.7     18.1    216.0
     4     1    15     4    11    18     0     0    -1.0   81.929  -99.002    567.5    933.5    252.9    247.9      0.0    256.0     41.8     18.1    209.1
     5     1    15     4    11    18     0     0    -1.0   81.901  -98.920    585.3    934.5    253.1    248.2      0.0    212.9     41.1      3.6    208.0
     6     1    15     4    11    18     0     0    -1.0   81.917  -99.525    567.3    933.4    252.7    247.7      0.0    266.7     42.4     18.1    217.3
     7     1    15     4    11    18     0     0    -1.0   81.927  -99.078    575.1    935.8    252.8    248.0      0.0    256.0     41.9      2.6    209.2
     8     1    15     4    11    18     0     0    -1.0   81.891  -99.073    590.0    934.6    253.1    248.3      0.0    206.0     41.2      0.0    201.7
     9     1    15     4    11    18     0     0    -1.0   81.929  -99.504    572.4    932.8    252.7    247.7      0.0    265.1     42.8     18.1    215.9
    10     1    15     4    11    18     0     0    -1.0   81.918  -99.320    576.7    967.2    248.1    245.8      0.0    256.0     41.9      8.4    209.3
    11     1    15     4    11    18     0     0    -1.0   81.894  -99.210    592.8    966.5    249.6    247.2      0.0    205.5     37.6      2.2    201.7
    12     1    15     4    11    18     0     0    -1.0   81.925  -99.665    573.9    965.4    247.0    244.5      0.0    265.7     46.7     18.1    216.0
    13     1    15     4    11    18     0     0    -1.0   81.920  -99.288    576.5    965.2    248.1    245.6      0.0    256.0     42.4     18.1    209.3
    14     1    15     4    11    18     0     0    -1.0   81.899  -99.146    592.6    966.2    249.6    247.2      0.0    204.9     37.7      3.6    206.1
    15     1    15     4    11    18     0     0    -1.0   81.924  -99.650    574.2    965.3    246.8    244.3      0.0    265.7     47.5     18.1    216.8
    16     1    15     4    11    18     0     0    -1.0   81.916  -99.358    577.0    968.3    248.2    245.9      0.0    256.0     41.4      3.0    209.3
    17     1    15     4    11    18     0     0    -1.0   81.890  -99.272    594.1    966.8    249.6    247.2      0.0    206.2     37.5      0.0    201.8
    18     1    15     4    11    18     0     0    -1.0   81.925  -99.683    573.9    965.4    247.2    244.7      0.0    262.1     45.9     18.1    213.5
    19     1    15     4    11    18     0     0    -1.0   81.916  -98.995    576.2    901.0    256.2    248.7      0.0    256.0     41.1     18.1    209.3
    20     1    15     4    11    18     0     0    -1.0   81.894  -98.901    591.8    902.0    256.1    248.7      0.0    205.7     41.2      3.9    202.9
    21     1    15     4    11    18     0     0    -1.0   81.897  -99.563    576.0    900.8    256.3    248.7      0.0    269.2     41.0     18.1    216.0
    22     1    15     4    11    18     0     0    -1.0   81.913  -98.972    575.8    901.0    256.2    248.7      0.0    256.7     41.1     18.1    209.4
    23     1    15     4    11    18     0     0    -1.0   81.896  -98.827    591.4    902.1    256.2    248.7      0.0    222.9     40.9      3.8    208.0
    24     1    15     4    11    18     0     0    -1.0   81.884  -99.608    576.1    900.8    256.5    248.9      0.0    270.9     39.5     18.1    217.5
    25     1    15     4    11    18     0     0    -1.0   81.919  -99.025    576.8    903.9    255.8    248.5      0.0    256.0     41.8      2.9    209.3
